frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,127.3,,,,,,,,,,,,,,,,,,,46,162,3,,,,,,
1,127.3,,,,,,,,,,,,,,,,,,,34,79,123,,,,,,
2,235.8,,,,,,,,,,,,,,,,,,,26,271,928,,,,,,
3,269.3,9,1097,930,98.30091932194763,83.33623971687447,,,,,10,266,906,23.83595673622431,81.18562707901965,,,,,,,,,,,,,
4,269.3,9,1097,930,98.30091932194763,83.33623971687447,,,,,11,265,905,23.746347876313695,81.09601821910903,,,,,,,,,,,,,
5,279.6,9,1097,930,98.30091932194763,83.33623971687447,,,,,10,265,905,23.746347876313695,81.09601821910903,,,,,,,,,,,,,
6,291.2,8,1097,930,98.30091932194763,83.33623971687447,0.7059318369027577,0.0,64.4686609043615,0.0,11,265,905,23.746347876313695,81.09601821910903,-2.0029441497407543,-2.0029441497409923,190.75658568959514,190.75658568961782,,,,,,,,,
7,300.3,7,1097,930,98.30091932194763,83.33623971687447,0.4339073191548606,0.0,27.99402059063617,0.0,11,265,905,23.746347876313695,81.09601821910903,0.0,0.4339073191548606,0.0,27.99402059063617,,,,,,,,,
8,309.9,6,1098,930,98.39052818185826,83.33623971687447,2.2240913899160555,-0.24177247873956997,-48.402424154865166,-15.95857945475712,11,265,905,23.746347876313695,81.09601821910903,0.0,0.0,0.0,0.0,,,,,,,,,
9,334.1,5,1098,930,98.39052818185826,83.33623971687447,1.4608318458827674,-0.2699316004233602,-29.275187292239842,-12.584223795960837,11,266,906,23.83595673622431,81.18562707901965,1.1909002454592228,1.1909002454593645,-41.8594110881977,-41.85941108820268,,,,,,,,,
10,366.3,7,1098,930,98.39052818185826,83.33623971687447,0.817246428617951,-0.3574207978139876,-16.377683940239496,-10.830933267090533,11,265,906,23.746347876313695,81.18562707901965,0.0,0.817246428617951,0.0,-16.377683940239496,,,,,,,,,
11,401.8,6,1098,929,98.39052818185826,83.24663085696386,0.0,-0.5085993457027751,0.0,10.15168354696158,11,265,905,23.746347876313695,81.09601821910903,0.0,0.0,0.0,0.0,,,,,,,,,
12,433.9,6,1098,929,98.39052818185826,83.24663085696386,0.0,-0.4542761504625376,0.0,8.889944236057483,11,265,905,23.746347876313695,81.09601821910903,-0.4542761504625556,-0.021085347190026922,8.889944236057836,17.571122658355147,,,,,,,,,
13,466.1,6,1098,929,98.39052818185826,83.24663085696386,0.0,-0.44916699222531964,0.0,8.992332176683078,11,265,906,23.746347876313695,81.18562707901965,0.0,-0.4482682090743983,0.0,-8.983330843174313,,,,,,,,,
14,502.0,6,1098,929,98.39052818185826,83.24663085696386,0.0,0.0,0.0,0.0,11,265,905,23.746347876313695,81.09601821910903,0.0,0.45119455615478743,0.0,9.005879364367017,,,,,,,,,
15,536.1,6,1098,929,98.39052818185826,83.24663085696386,0.0,0.0,0.0,0.0,11,265,906,23.746347876313695,81.18562707901965,0.0,-0.02379253623879617,0.0,-17.62410091762656,,,,,,,,,
16,566.0,6,1098,929,98.39052818185826,83.24663085696386,0.0,0.0,0.0,0.0,11,265,905,23.746347876313695,81.09601821910903,0.0,-0.018467350273049216,0.0,17.587952640999124,,,,,,,,,
17,601.6,6,1098,929,98.39052818185826,83.24663085696386,0.0,0.4451399402142238,0.0,8.938553016349873,11,265,906,23.746347876313695,81.18562707901965,0.4451399402142414,0.45141891473024787,8.938553016350228,-9.001374172088694,,,,,,,,,
18,635.6,6,1098,929,98.39052818185826,83.24663085696386,0.0,0.4578604596795785,0.0,9.203225320192534,11,265,905,23.746347876313695,81.09601821910903,0.0,0.010067588542477881,0.0,18.304706440868248,,,,,,,,,
19,668.0,6,1098,929,98.39052818185826,83.24663085696386,0.0,0.466331821983798,0.0,9.143761215368588,11,265,906,23.746347876313695,81.18562707901965,0.4663318219838165,0.43047393486477387,9.143761215368952,-8.785182344179058,,,,,,,,,
20,701.9,7,1098,930,98.39052818185826,83.33623971687447,0.0,0.446926760079774,0.0,-8.902923507565223,10,266,906,23.83595673622431,81.18562707901965,0.4469267600797917,0.0,-8.902923507565575,0.0,,,,,,,,,
