frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,134.9,,,,,,,,,,,,,,,,,,,35,153,4,13.710155566324511,0.3584354396424709,,,,
1,134.9,,,,,,,,,,,,,,,,,,,42,67,584,6.0037936140113874,52.33157418780075,,,,
2,251.4,,,,,,,,,,,,,,,,,,,45,744,817,,,,,,
3,273.4,,,,,,,,,,,,,,,,,,,33,858,1006,76.88440180331,90.14651307008143,,,,
4,296.4,,,,,,,,,,,,,,,,,,,51,888,983,79.57266760062853,88.08550929213722,,,,
5,307.3,,,,,,,,,,11,878,910,78.67657900152236,81.54406251866212,,,,,,,,,,,,,
6,321.4,5,558,896,50.00174383012469,80.28953847991347,,,,,11,878,910,78.67657900152236,81.54406251866212,,,,,,,,,,,,,
7,333.2,,,,,,,,,,11,878,911,78.67657900152236,81.63367137857274,,,,,,,,,,,,,
8,342.7,5,558,896,50.00174383012469,80.28953847991347,,,,,11,878,910,78.67657900152236,81.54406251866212,0.0,0.0,0.0,0.0,,,,,,,,,
9,354.2,,,,,,,,,,11,878,911,78.67657900152236,81.63367137857274,0.0,1.8628323353235767,0.0,-52.99665249853702,,,,,,,,,
10,365.5,6,558,896,50.00174383012469,80.28953847991347,,,,,11,878,910,78.67657900152236,81.54406251866212,0.0,-1.827028574749155,0.0,58.65260272067913,,,,,,,,,
11,392.3,5,559,895,50.0913526900353,80.19992962000286,,,,,11,878,910,78.67657900152236,81.54406251866212,0.0,0.2970988938213282,0.0,11.979794105698712,,,,,,,,,
12,424.5,5,559,895,50.0913526900353,80.19992962000286,,,,,11,878,911,78.67657900152236,81.63367137857274,0.0,0.0,0.0,0.0,,,,,,,,,
13,460.1,,,,,,,,,,11,878,911,78.67657900152236,81.63367137857274,0.0,0.48794245597573704,0.0,-9.710297631357951,,,,,,,,,
14,492.3,,,,,,,,,,12,878,911,78.67657900152236,81.63367137857274,0.8974343018418044,0.4478201653362471,17.948686036836087,-8.965368675400338,,,,,,,,,
15,525.5,5,559,896,50.0913526900353,80.28953847991347,0.0,-0.0188387716177245,0.0,-17.941687254975463,11,878,911,78.67657900152236,81.63367137857274,2.28893386303172,0.0,45.32542303033109,0.0,,,,,,,,,
16,560.6,6,558,897,50.00174383012469,80.37914733982409,,,,,12,878,911,78.67657900152236,81.63367137857274,1.3576417720126133,-0.45254725733758555,27.017746706718665,-9.005915568907174,,,,,,,,,
17,592.2,,,,,,,,,,11,880,911,78.8557967213436,81.63367137857274,,,,,,,,,,,,,
18,624.4,5,559,895,50.0913526900353,80.19992962000286,,,,,9,883,911,79.12462330107545,81.63367137857274,0.5956665134456696,-0.42804188909179075,-79.56743212206113,-8.656054380015991,,,,,,,,,
