frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,131.9,,,,,,,,,,,,,,,,,,,22,62,962,5.555749314458298,86.20372323401425,,,,
1,131.9,,,,,,,,,,,,,,,,,,,45,60,847,5.376531594637063,75.89870434429321,,,,
2,241.6,,,,,,,,,,,,,,,,,,,34,21,378,,,,,,
3,264.6,,,,,,,,,,,,,,,,,,,36,943,1012,84.5011548957125,90.68416622954513,,,,
4,285.3,,,,,,,,,,,,,,,,,,,33,209,1007,18.728251721319104,90.23612192999204,,,,
5,294.9,9,247,932,22.133388397922577,83.51545743669571,,,,,11,1000,948,89.60885991061771,84.94919919526559,,,,,,,,,,,,,
6,322.7,9,250,930,22.402214977654427,83.33623971687447,,,,,11,999,944,89.5192510507071,84.59076375562313,,,,,,,,,,,,,
7,331.8,9,252,926,22.581432697475666,82.97780427723201,,,,,11,996,940,89.25042447097525,84.23232831598065,,,,,,,,,,,,,
8,342.4,9,255,921,22.850259277207517,82.52975997767892,26.170547214453546,-30.78213258633995,466.4643664501746,-422.3413529833633,11,991,933,88.80238017142216,83.60506629660632,-28.81758123623606,-38.8731311533743,-498.4867541501701,-445.2882713582373,,,,,,,,,
9,353.9,9,262,913,23.47752129658184,81.81288909839398,33.43987272801806,-44.21371321217027,-65.70983278527838,295.61712331685703,11,983,923,88.08550929213722,82.70897769750015,-42.20909671070728,-53.733695171696844,240.0105629434039,421.79234213930596,,,,,,,,,
