frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,140.6,,,,,,,,,,,,,,,,,,,44,251,690,22.491823837565047,61.83011333832622,,,,
1,140.6,,,,,,,,,,,,,,,,,,,46,252,691,22.581432697475666,61.91972219823684,,,,
2,243.3,,,,,,,,,,,,,,,,,,,44,251,691,,,,,,
3,266.0,5,311,619,27.86835543220211,55.467884284672365,,,,,,,,,,,,,,17,278,720,24.911263055151725,64.51837913564475,,,,
4,290.7,9,719,1034,64.42877027573414,92.65556114757872,,,,,,,,,,,,,,17,278,718,24.911263055151725,64.33916141582353,,,,
5,299.6,9,323,586,28.94366175112952,52.51079190762198,,,,,11,727,996,65.14564115501908,89.25042447097525,,,,,,,,,,,,,
6,312.5,9,323,586,28.94366175112952,52.51079190762198,9.99536379010078,-26.050051970122485,-564.7098186497619,1614.7669884978068,11,727,995,65.14564115501908,89.16081561106463,,,,,,,,,,,,,
7,324.8,9,323,586,28.94366175112952,52.51079190762198,-535.1331418979809,-604.1973900292247,29647.265479112542,33611.05982913828,11,727,995,65.14564115501908,89.16081561106463,,,,,,,,,,,,,
8,337.2,9,323,586,28.94366175112952,52.51079190762198,0.0,0.6483387179133516,0.0,34.48610201666767,11,727,995,65.14564115501908,89.16081561106463,0.0,-1.4227764181606761,0.0,51.087124530006335,,,,,,,,,
9,347.9,9,323,587,28.94366175112952,52.6004007675326,0.0,1.7601631418599442,0.0,-43.56839460049366,11,727,996,65.14564115501908,89.25042447097525,0.0,1.4223031828403105,0.0,-62.65652787842774,,,,,,,,,
10,360.9,9,323,587,28.94366175112952,52.6004007675326,0.0,1.8228663774446785,0.0,-36.53038832554465,11,727,996,65.14564115501908,89.25042447097525,0.0,1.822866377444534,0.0,-36.53038832554175,,,,,,,,,
11,392.9,9,323,587,28.94366175112952,52.6004007675326,0.3195157790270319,0.714476659969569,11.472738923771344,-32.11131056043004,11,727,995,65.14564115501908,89.16081561106463,0.0,0.0,0.0,0.0,,,,,,,,,
12,428.7,9,323,587,28.94366175112952,52.6004007675326,0.0,-0.39984315743836274,0.0,-9.897107857385215,11,727,995,65.14564115501908,89.16081561106463,0.0,-0.21382713774774878,0.0,22.15825261634707,,,,,,,,,
13,460.7,9,323,587,28.94366175112952,52.6004007675326,0.0,-0.44293259993411743,0.0,-8.876404808298945,11,727,996,65.14564115501908,89.25042447097525,0.0,-0.4429325999340823,0.0,-8.87640480829824,,,,,,,,,
14,493.1,9,324,586,29.03327061104014,52.51079190762198,-0.0017885999982161754,-0.4467032962577305,-17.885999982159532,8.93406592515461,11,727,995,65.14564115501908,89.16081561106463,-0.4484918962559111,0.0,-8.95193405700421,0.0,,,,,,,,,
15,528.8,9,323,586,28.94366175112952,52.51079190762198,0.0,0.005398151190153388,0.0,17.993837300512418,11,727,996,65.14564115501908,89.25042447097525,0.0,-0.0053981511901530065,0.0,-17.99383730051099,,,,,,,,,
16,561.4,9,323,586,28.94366175112952,52.51079190762198,0.0,0.00354879195227031,0.0,17.74395976135531,11,727,995,65.14564115501908,89.16081561106463,0.0,-0.4440443585960173,0.0,8.854324199322372,,,,,,,,,
17,593.1,9,323,586,28.94366175112952,52.51079190762198,-0.44737122348967145,0.45006757835157646,8.974347512330427,9.001351567031527,11,726,995,65.05603229510847,89.16081561106463,0.0026963548619048545,0.4500675783515408,17.97569907936053,9.001351567030815,,,,,,,,,
18,628.3,9,323,587,28.94366175112952,52.6004007675326,0.0,0.45187418127412493,0.0,-9.019444736010476,11,727,995,65.14564115501908,89.16081561106463,0.0,-0.006291557782668928,0.0,17.97587937905338,,,,,,,,,
19,661.7,9,323,587,28.94366175112952,52.6004007675326,0.4548341618718482,0.44401589700019095,9.069474812997964,-8.960966639761681,11,727,995,65.14564115501908,89.16081561106463,0.0,0.0,0.0,0.0,,,,,,,,,
20,692.8,9,323,587,28.94366175112952,52.6004007675326,0.0,0.004484954860121193,0.0,-17.93981944048099,11,727,996,65.14564115501908,89.25042447097525,0.45051652019808053,0.45051652019808053,-8.992345712536535,-8.992345712536535,,,,,,,,,
21,728.5,9,323,587,28.94366175112952,52.6004007675326,0.0,-0.4471499995539882,0.0,-8.92514969169637,11,727,996,65.14564115501908,89.25042447097525,0.0,0.44714999955395274,0.0,-8.925149691695662,,,,,,,,,
22,760.8,9,324,587,29.03327061104014,52.6004007675326,0.00724105416501374,-0.4466898062455598,-18.102635412530447,-9.014930499405857,11,727,995,65.14564115501908,89.16081561106463,-0.4466898062455244,0.0,-9.014930499405144,0.0,,,,,,,,,
23,793.0,9,323,586,28.94366175112952,52.51079190762198,0.0,-0.4471499995539882,0.0,8.92514969169637,11,727,996,65.14564115501908,89.25042447097525,0.0,0.0,0.0,0.0,,,,,,,,,
