frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,134.6,,,,,,,,,,,,,,,,,,,33,29,1011,,,,,,
1,134.6,,,,,,,,,,,,,,,,,,,20,46,1027,,,,,,
2,243.5,,,,,,,,,,,,,,,,,,,52,22,367,,,,,,
3,266.4,,,,,,,,,,10,237,923,21.237299798816398,82.70897769750015,,,,,,,,,,,,,
4,285.4,,,,,,,,,,10,233,923,20.878864359173928,82.70897769750015,,,,,,,,,,,,,
5,302.5,,,,,,,,,,11,229,923,20.520428919531458,82.70897769750015,,,,,,,,,,,,,
6,312.6,,,,,,,,,,10,226,923,20.251602339799604,82.70897769750015,-13.823357646098032,-0.7458807989835468,325.198493063346,-32.28921207720978,,,,,,,,,
7,328.7,,,,,,,,,,11,226,924,20.251602339799604,82.79858655741077,-10.255862736464993,-1.3262392339965363,195.4068376122224,-156.84655499008085,,,,,,,,,
8,345.2,,,,,,,,,,11,226,924,20.251602339799604,82.79858655741077,-5.76859350271826,-1.1393990590644782,24.689037032819474,-151.661227487322,,,,,,,,,
9,367.5,,,,,,,,,,10,223,922,19.98277576006775,82.61936883758953,-3.276381340484541,-1.5424092908637823,59.026508962646545,3.2717806790226844,,,,,,,,,
10,379.4,,,,,,,,,,11,223,921,19.98277576006775,82.52975997767892,-4.525290130320769,-3.6968070572484257,30.651253359936337,63.3330313904008,,,,,,,,,
11,397.7,,,,,,,,,,11,223,921,19.98277576006775,82.52975997767892,-4.897370524444235,-3.3600178737183333,8.500409758571973,67.06622502431804,,,,,,,,,
12,429.7,,,,,,,,,,11,222,921,19.893166900157134,82.52975997767892,-2.6039119287655383,-0.8885382431656952,-37.403698296440666,17.753011851462446,,,,,,,,,
13,461.8,,,,,,,,,,11,220,920,19.7139491803359,82.4401511177683,-3.3862142666939214,-0.20289722111468833,-3.003780941808962,21.470605408961738,,,,,,,,,
14,497.9,,,,,,,,,,10,218,921,19.534731460514664,82.52975997767892,-4.032223907482369,0.0,8.767985789569057,0.0,,,,,,,,,
15,529.8,,,,,,,,,,11,217,921,19.445122600604044,82.52975997767892,-4.031510671288057,0.0,8.880246897389307,0.0,,,,,,,,,
16,563.1,,,,,,,,,,10,216,921,19.35551374069343,82.52975997767892,-3.5762003948806558,-0.0187261772175751,-0.7471791408511572,-17.83445449292791,,,,,,,,,
17,597.6,,,,,,,,,,11,214,921,19.17629602087219,82.52975997767892,-3.1390548409533805,-0.44536407443117937,9.149146939197012,-8.934083739843114,,,,,,,,,
18,629.7,,,,,,,,,,11,213,921,19.086687160961574,82.52975997767892,-3.136099610578491,-0.8929592194991207,9.045900464163553,-17.877061451433836,,,,,,,,,
19,662.3,,,,,,,,,,10,212,920,18.997078301050955,82.4401511177683,-3.6042229241686328,-0.901055731042172,0.18220879230324283,0.04555219807715816,,,,,,,,,
20,697.9,,,,,,,,,,11,211,920,18.90746944114034,82.4401511177683,-3.13499054076448,-1.3445894348152336,-9.068104064044457,-8.996631322650495,,,,,,,,,
21,729.9,,,,,,,,,,11,210,919,18.81786058122972,82.35054225785768,-3.134077473796926,-0.8934065925154624,-9.005538452555475,17.868131850309243,,,,,,,,,
22,762.0,,,,,,,,,,11,208,919,18.638642861408485,82.35054225785768,-2.693690766522236,-0.005376579983855866,18.0832306790387,17.92193327952195,,,,,,,,,
23,797.8,,,,,,,,,,10,207,918,18.549034001497866,82.26093339794707,-3.1372124589932837,0.4435647481666478,9.02362121662095,44.795513864830305,,,,,,,,,
24,829.9,,,,,,,,,,11,206,919,18.45942514158725,82.35054225785768,-3.5580661807289355,1.31441078478823,0.5257643139152954,26.288215695764595,,,,,,,,,
25,862.3,,,,,,,,,,11,206,920,18.45942514158725,82.4401511177683,-3.1385677514711197,0.8952005529746316,-26.954157597261716,0.035736370697147996,,,,,,,,,
26,897.9,,,,,,,,,,11,204,921,18.280207421766015,82.52975997767892,-2.2379835142511775,1.342790108550703,8.94299106593863,-26.828973197816236,,,,,,,,,
27,931.4,,,,,,,,,,10,202,922,18.10098970194478,82.61936883758953,-2.2012913120512927,0.3851586594885615,26.20871585707272,-44.59860240117677,,,,,,,,,
28,962.2,,,,,,,,,,11,201,921,18.01138084203416,82.52975997767892,-1.8046974783665932,-0.4391253094987604,53.658267168923906,-26.74896685064492,,,,,,,,,
29,998.0,,,,,,,,,,11,202,921,18.10098970194478,82.52975997767892,-0.4464778229363745,-0.8965364194955514,26.851328440850633,-17.912815574336687,,,,,,,,,
30,1030.1,,,,,,,,,,11,201,920,18.01138084203416,82.4401511177683,0.8851485573327905,-1.8067220368121797,36.33312546783277,0.18359335759536005,,,,,,,,,
31,1062.7,,,,,,,,,,10,202,919,18.10098970194478,82.35054225785768,2.246301719771525,-1.33902554250484,26.95863229651127,8.840504502265217,,,,,,,,,
32,1098.0,,,,,,,,,,11,203,919,18.190598561855396,82.35054225785768,1.7868207622846541,-0.8974307188252733,17.814643263569934,17.894929587742244,,,,,,,,,
33,1129.8,,,,,,,,,,10,204,918,18.280207421766015,82.26093339794707,2.24427771157803,-0.45388370989022503,-9.068749254287358,26.954587724088782,,,,,,,,,
34,1162.5,,,,,,,,,,10,206,918,18.45942514158725,82.26093339794707,2.2440392161502407,-0.4482664054202694,-27.00397305044483,9.010380008447626,,,,,,,,,
35,1198.3,,,,,,,,,,11,206,919,18.45942514158725,82.35054225785768,2.2410192741006925,-0.454147902469601,-8.757843426759594,-9.055790677359944,,,,,,,,,
36,1229.9,,,,,,,,,,11,206,919,18.45942514158725,82.35054225785768,2.239550661927441,-0.8974316129012534,8.974302707822043,-35.81668368834508,,,,,,,,,
37,1262.0,,,,,,,,,,11,207,918,18.549034001497866,82.26093339794707,0.8600957626298706,-0.774871447874086,-0.8139858142862246,-15.57530548490625,,,,,,,,,
38,1297.5,,,,,,,,,,11,208,918,18.638642861408485,82.26093339794707,0.9149997932616006,-1.3263578566473349,-17.97642029983499,-8.529087431062099,,,,,,,,,
39,1329.9,,,,,,,,,,11,209,916,18.728251721319104,82.08171567812583,0.898772392510089,-0.8987723925101064,-35.78986809616907,35.78986809616801,,,,,,,,,
40,1371.9,,,,,,,,,,11,208,916,18.638642861408485,82.08171567812583,0.8556854826843376,-0.3121158170352158,0.7337259426659701,23.996700040663665,,,,,,,,,
41,1399.3,,,,,,,,,,11,208,916,18.638642861408485,82.08171567812583,1.384985901255436,-0.404526440695304,27.209939120931953,26.639724286701217,,,,,,,,,
42,1430.1,,,,,,,,,,10,208,917,18.638642861408485,82.17132453803644,0.8898472019262655,0.4475958121158228,35.6117205795259,-8.91625123736698,,,,,,,,,
43,1472.3,,,,,,,,,,11,209,917,18.728251721319104,82.17132453803644,1.9212353575995356,0.4301405068914846,20.49236718313481,-9.210717492323003,,,,,,,,,
44,1497.9,,,,,,,,,,11,211,917,18.90746944114034,82.17132453803644,2.254271616765786,0.024223023789983488,-9.577368826604394,-17.942980585174094,,,,,,,,,
45,1530.5,,,,,,,,,,11,211,917,18.90746944114034,82.17132453803644,2.691091574787426,-0.9060095845368679,0.2696414296605379,-18.047999691969466,,,,,,,,,
46,1565.7,,,,,,,,,,10,212,917,18.997078301050955,82.17132453803644,3.2979563630031232,-0.9191686886902504,8.987739998954828,-19.682413034052452,,,,,,,,,
47,1599.2,,,,,,,,,,11,213,916,19.086687160961574,82.08171567812583,2.714815149634931,-1.3574075748174577,18.67003482599522,-9.335017412998498,,,,,,,,,
