frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
15,530.3,10,722,971,64.69759685546599,87.0102029732098,0.0,0.0,0.0,0.0,10,344,582,30.825447809252495,52.15235646797951,0.0,0.007154507096263655,0.0,-17.886267740657246,,,,,,,,,
16,566.2,10,722,971,64.69759685546599,87.0102029732098,0.0,0.0,0.0,0.0,10,344,581,30.825447809252495,52.0627476080689,-0.44602618810340383,-0.8920523762068077,-8.974369981959834,-17.948739963919667,,,,,,,,,
17,598.3,10,722,971,64.69759685546599,87.0102029732098,-0.45051652019807953,0.45051652019815097,-8.992345712536522,8.992345712537949,10,344,582,30.825447809252495,52.15235646797951,-0.9010330403962127,-1.3560345154544649,-17.984691425074118,-44.91685657809127,,,,,,,,,
18,630.8,10,722,971,64.69759685546599,87.0102029732098,-0.44916161700830537,0.44916161700837665,-8.938539641956327,8.938539641957743,10,344,581,30.825447809252495,52.0627476080689,-0.8983232340166641,-1.7921883157989695,-17.877079283913712,-17.921549630392168,,,,,,,,,
19,666.3,10,722,971,64.69759685546599,87.0102029732098,-0.4171148772141767,0.41711487721424284,-8.333963580702838,8.33396358070416,10,343,579,30.735838949341876,51.88352988824766,-0.8751918931067875,-1.3332689089993983,0.399630621252861,9.133224823208561,,,,,,,,,
20,698.0,10,721,972,64.60798799555538,87.09981183312043,-0.451188251117815,0.8952219951394389,8.978870669011243,-0.07147359736668554,10,342,578,30.64623008943126,51.79392102833704,-0.9023765022356837,-1.3607192604497798,17.957741338023553,44.8228797476938,,,,,,,,,
21,730.8,10,721,972,64.60798799555538,87.09981183312043,-0.8869689486867076,1.321238016281142,0.18239300838828498,8.502988343497563,10,342,578,30.64623008943126,51.79392102833704,-0.9053997621844679,-0.9238305756822627,17.735548720557645,35.28870443272631,,,,,,,,,
22,771.2,10,721,972,64.60798799555538,87.09981183312043,-0.9014907814947657,1.8929953951309346,-0.9010393607764473,19.804845149833312,10,342,578,30.64623008943126,51.79392102833704,-0.4057384746766509,0.09001383214142462,8.5508635337545,18.002766428284694,,,,,,,,,
23,798.5,10,721,973,64.60798799555538,87.18942069303104,-0.41556912320566625,1.287351492551192,-8.270032302600322,7.875045685162762,10,342,579,30.64623008943126,51.88352988824766,0.0,0.4562132461399614,0.0,-8.665018920037259,,,,,,,,,
24,832.9,10,720,974,64.51837913564475,87.27902955294165,-0.44075451934507065,1.3145947035977168,8.558340181457684,-8.633121794691004,10,342,579,30.64623008943126,51.88352988824766,-0.4330856649076809,0.007668854437354799,-8.483558568220975,-17.04189874967798,,,,,,,,,
