| time |   in   |load |  out   |
| 0+   |      0 |  0  |      0 |
| 1    |      0 |  0  |      0 |
| 1+   |      0 |  1  |      0 |
| 2    |      0 |  1  |      0 |
| 2+   |    127 |  0  |      0 |
| 3    |    127 |  0  |      0 |
| 3+   |    127 |  0  |      0 |
| 4    |    127 |  0  |      0 |
| 4+   |    255 |  1  |      0 |
| 5    |    255 |  1  |      0 |
