frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
1373,45782.2,8,388,661,,,,,,,9,266,545,,,,,,,7,269,785,,,,,,,,,,,,,,,
1374,45818.2,8,388,659,,,,,,,9,265,545,,,,,,,7,270,784,,,,,,,,,,,,,,,
1375,45850.1,8,388,658,,,,,,,9,264,544,,,,,,,7,271,784,,,,,,,,,,,,,,,
1376,45883.7,8,388,655,,,,,,,9,263,544,,,,,,,6,272,784,,,,,,,,,,,,,,,
1377,45918.7,7,388,654,,,,,,,9,262,543,,,,,,,7,274,783,,,,,,,,,,,,,,,
1378,45950.2,7,388,652,,,,,,,9,261,543,,,,,,,7,275,782,,,,,,,,,,,,,,,
1379,45982.1,7,388,651,,,,,,,9,260,542,,,,,,,7,277,782,,,,,,,,,,,,,,,
1380,46018.0,8,388,649,,,,,,,9,259,542,,,,,,,6,278,781,,,,,,,,,,,,,,,
1381,46050.3,8,389,648,,,,,,,9,258,541,,,,,,,6,280,781,,,,,,,,,,,,,,,
1382,46082.6,8,389,647,,,,,,,8,258,541,,,,,,,7,282,780,,,,,,,,,,,,,,,
1383,46117.8,8,390,645,,,,,,,9,257,542,,,,,,,7,284,780,,,,,,,,,,,,,,,
1384,46150.5,8,390,643,,,,,,,9,256,542,,,,,,,7,286,780,,,,,,,,,,,,,,,
1385,46182.2,8,390,642,,,,,,,9,255,542,,,,,,,7,288,779,,,,,,,,,,,,,,,
1386,46219.0,8,391,641,,,,,,,9,255,541,,,,,,,6,290,780,,,,,,,,,,,,,,,
1387,46250.4,8,392,640,,,,,,,9,255,542,,,,,,,7,292,779,,,,,,,,,,,,,,,
1388,46282.3,8,393,638,,,,,,,9,254,542,,,,,,,7,294,778,,,,,,,,,,,,,,,
1389,46318.0,8,393,637,,,,,,,9,254,543,,,,,,,7,296,778,,,,,,,,,,,,,,,
1390,46350.2,7,394,636,,,,,,,9,254,543,,,,,,,7,299,778,,,,,,,,,,,,,,,
1391,46382.3,8,395,635,,,,,,,9,254,543,,,,,,,7,301,778,,,,,,,,,,,,,,,
1392,46417.8,8,396,633,,,,,,,10,254,543,,,,,,,6,303,778,,,,,,,,,,,,,,,
1393,46450.4,7,396,633,,,,,,,9,253,544,,,,,,,7,306,777,,,,,,,,,,,,,,,
1394,46485.2,8,397,631,,,,,,,9,253,545,,,,,,,6,308,777,,,,,,,,,,,,,,,
1395,46518.1,7,398,631,,,,,,,9,254,545,,,,,,,7,311,777,,,,,,,,,,,,,,,
1396,46549.9,8,400,630,,,,,,,9,254,545,,,,,,,7,314,777,,,,,,,,,,,,,,,
1397,46582.7,8,401,629,,,,,,,9,254,546,,,,,,,7,316,777,,,,,,,,,,,,,,,
1398,46620.7,8,402,628,,,,,,,9,254,546,,,,,,,7,319,777,,,,,,,,,,,,,,,
1399,46650.0,8,403,627,,,,,,,9,254,547,,,,,,,7,322,777,,,,,,,,,,,,,,,
1400,46682.0,8,404,626,,,,,,,9,255,548,,,,,,,7,324,776,,,,,,,,,,,,,,,
1401,46718.0,8,405,625,,,,,,,9,255,549,,,,,,,6,327,777,,,,,,,,,,,,,,,
1402,46749.9,8,407,625,,,,,,,10,256,550,,,,,,,7,330,776,,,,,,,,,,,,,,,
1403,46783.4,8,408,624,,,,,,,9,256,550,,,,,,,7,333,776,,,,,,,,,,,,,,,
1404,46818.2,8,409,623,,,,,,,9,257,551,,,,,,,6,336,777,,,,,,,,,,,,,,,
1405,46851.7,8,411,623,,,,,,,9,258,552,,,,,,,6,339,777,,,,,,,,,,,,,,,
1406,46882.2,8,412,622,,,,,,,9,258,553,,,,,,,6,342,777,,,,,,,,,,,,,,,
1407,46917.7,8,414,622,,,,,,,10,259,555,,,,,,,7,345,777,,,,,,,,,,,,,,,
1408,46950.1,7,416,621,,,,,,,9,260,555,,,,,,,6,349,777,,,,,,,,,,,,,,,
1409,46982.1,8,417,620,,,,,,,9,261,556,,,,,,,7,352,778,,,,,,,,,,,,,,,
1410,47018.1,8,419,620,,,,,,,10,262,558,,,,,,,7,355,778,,,,,,,,,,,,,,,
1411,47050.2,8,420,620,,,,,,,9,263,558,,,,,,,7,359,778,,,,,,,,,,,,,,,
1412,47082.5,8,422,619,,,,,,,9,264,560,,,,,,,7,362,778,,,,,,,,,,,,,,,
1413,47118.4,8,424,619,,,,,,,10,265,561,,,,,,,7,366,778,,,,,,,,,,,,,,,
1414,47155.0,8,425,618,,,,,,,10,266,562,,,,,,,6,369,778,,,,,,,,,,,,,,,
1415,47182.1,8,427,618,,,,,,,10,268,564,,,,,,,7,372,778,,,,,,,,,,,,,,,
1416,47218.1,7,429,618,,,,,,,10,269,565,,,,,,,6,376,779,,,,,,,,,,,,,,,
1417,47250.3,8,431,618,,,,,,,9,270,567,,,,,,,6,379,779,,,,,,,,,,,,,,,
1418,47282.2,7,433,618,,,,,,,10,271,568,,,,,,,6,383,780,,,,,,,,,,,,,,,
1419,47318.2,8,435,617,,,,,,,9,273,570,,,,,,,7,387,780,,,,,,,,,,,,,,,
1420,47350.0,8,437,617,,,,,,,9,275,571,,,,,,,7,390,780,,,,,,,,,,,,,,,
1421,47382.1,8,439,617,,,,,,,9,277,573,,,,,,,6,394,780,,,,,,,,,,,,,,,
1422,47418.1,8,441,617,,,,,,,10,278,574,,,,,,,6,398,781,,,,,,,,,,,,,,,
1423,47450.1,8,443,617,,,,,,,10,280,576,,,,,,,7,402,781,,,,,,,,,,,,,,,
1424,47482.2,8,445,617,,,,,,,9,281,577,,,,,,,6,405,781,,,,,,,,,,,,,,,
1425,47518.4,8,447,617,,,,,,,9,283,579,,,,,,,6,409,782,,,,,,,,,,,,,,,
1426,47550.3,8,450,617,,,,,,,9,285,580,,,,,,,7,413,782,,,,,,,,,,,,,,,
1427,47582.1,8,451,617,,,,,,,9,287,582,,,,,,,6,417,783,,,,,,,,,,,,,,,
1428,47618.7,8,454,617,,,,,,,9,289,585,,,,,,,7,421,783,,,,,,,,,,,,,,,
1429,47650.2,8,456,617,,,,,,,9,290,585,,,,,,,7,425,783,,,,,,,,,,,,,,,
1430,47682.0,8,458,617,,,,,,,10,293,588,,,,,,,6,429,784,,,,,,,,,,,,,,,
1431,47718.1,8,461,617,,,,,,,9,294,588,,,,,,,7,433,784,,,,,,,,,,,,,,,
1432,47750.0,8,463,618,,,,,,,9,297,591,,,,,,,7,437,784,,,,,,,,,,,,,,,
1433,47782.2,8,465,618,,,,,,,9,298,593,,,,,,,7,441,785,,,,,,,,,,,,,,,
1434,47818.0,7,468,618,,,,,,,9,301,595,,,,,,,7,445,786,,,,,,,,,,,,,,,
1435,47850.4,7,470,619,,,,,,,9,303,597,,,,,,,7,449,786,,,,,,,,,,,,,,,
1436,47882.6,8,472,619,,,,,,,10,305,599,,,,,,,6,453,787,,,,,,,,,,,,,,,
1437,47918.1,8,475,619,,,,,,,10,307,601,,,,,,,7,457,787,,,,,,,,,,,,,,,
1438,47949.9,8,477,619,,,,,,,9,310,603,,,,,,,7,462,788,,,,,,,,,,,,,,,
1439,47982.3,8,480,620,,,,,,,9,313,605,,,,,,,7,465,787,,,,,,,,,,,,,,,
1440,48017.9,8,482,620,,,,,,,9,315,607,,,,,,,7,470,788,,,,,,,,,,,,,,,
1441,48050.1,8,485,620,,,,,,,9,317,608,,,,,,,7,474,788,,,,,,,,,,,,,,,
1442,48082.5,8,487,621,,,,,,,10,319,610,,,,,,,7,478,789,,,,,,,,,,,,,,,
1443,48118.1,8,490,621,,,,,,,9,322,613,,,,,,,6,482,790,,,,,,,,,,,,,,,
1444,48150.5,7,492,622,,,,,,,9,324,615,,,,,,,7,486,790,,,,,,,,,,,,,,,
1445,48186.9,8,495,622,,,,,,,9,327,617,,,,,,,7,490,791,,,,,,,,,,,,,,,
1446,48218.0,8,497,623,,,,,,,9,329,619,,,,,,,7,494,791,,,,,,,,,,,,,,,
1447,48250.0,7,500,624,,,,,,,9,333,621,,,,,,,6,498,792,,,,,,,,,,,,,,,
1448,48282.3,7,503,624,,,,,,,9,334,623,,,,,,,6,503,793,,,,,,,,,,,,,,,
1449,48318.0,7,505,624,,,,,,,9,338,625,,,,,,,6,507,793,,,,,,,,,,,,,,,
1450,48350.4,7,508,625,,,,,,,9,340,628,,,,,,,7,511,793,,,,,,,,,,,,,,,
1451,48382.2,8,510,626,,,,,,,10,343,630,,,,,,,7,516,794,,,,,,,,,,,,,,,
1452,48418.0,7,513,626,,,,,,,9,346,632,,,,,,,6,520,795,,,,,,,,,,,,,,,
1453,48450.1,7,515,626,,,,,,,9,348,634,,,,,,,7,524,795,,,,,,,,,,,,,,,
1454,48482.1,7,518,627,,,,,,,9,351,636,,,,,,,7,529,796,,,,,,,,,,,,,,,
1455,48518.2,7,521,628,,,,,,,10,354,638,,,,,,,6,532,796,,,,,,,,,,,,,,,
1456,48550.1,7,523,628,,,,,,,10,357,641,,,,,,,6,537,796,,,,,,,,,,,,,,,
1457,48582.5,8,526,628,,,,,,,9,359,643,,,,,,,7,541,796,,,,,,,,,,,,,,,
1458,48618.1,7,528,629,,,,,,,9,362,645,,,,,,,7,546,797,,,,,,,,,,,,,,,
1459,48650.1,8,531,630,,,,,,,9,364,647,,,,,,,6,550,797,,,,,,,,,,,,,,,
1460,48682.4,8,534,631,,,,,,,9,367,649,,,,,,,6,554,798,,,,,,,,,,,,,,,
1461,48718.4,8,536,631,,,,,,,9,371,653,,,,,,,7,558,798,,,,,,,,,,,,,,,
1462,48750.1,8,539,632,,,,,,,9,373,654,,,,,,,7,562,799,,,,,,,,,,,,,,,
1463,48782.4,7,542,633,,,,,,,9,376,656,,,,,,,7,567,800,,,,,,,,,,,,,,,
1464,48818.3,8,544,634,,,,,,,9,379,658,,,,,,,7,571,800,,,,,,,,,,,,,,,
1465,48850.3,8,546,634,,,,,,,9,382,661,,,,,,,6,575,800,,,,,,,,,,,,,,,
1466,48885.6,7,549,634,,,,,,,9,385,663,,,,,,,6,579,801,,,,,,,,,,,,,,,
1467,48917.9,8,552,635,,,,,,,9,387,665,,,,,,,7,583,800,,,,,,,,,,,,,,,
1468,48950.4,7,554,636,,,,,,,9,390,667,,,,,,,6,588,801,,,,,,,,,,,,,,,
1469,48983.8,8,557,636,,,,,,,9,393,669,,,,,,,7,592,802,,,,,,,,,,,,,,,
1470,49018.5,7,559,637,,,,,,,9,396,672,,,,,,,7,596,802,,,,,,,,,,,,,,,
1471,49050.3,8,562,638,,,,,,,9,399,674,,,,,,,7,600,802,,,,,,,,,,,,,,,
1472,49082.8,7,564,638,,,,,,,9,402,677,,,,,,,7,603,802,,,,,,,,,,,,,,,
1473,49120.1,7,567,639,,,,,,,9,405,679,,,,,,,7,608,802,,,,,,,,,,,,,,,
1474,49150.4,8,569,639,,,,,,,9,407,681,,,,,,,7,612,803,,,,,,,,,,,,,,,
1475,49182.5,8,572,640,,,,,,,9,411,683,,,,,,,6,616,803,,,,,,,,,,,,,,,
1476,49218.1,7,573,640,,,,,,,9,413,685,,,,,,,6,620,803,,,,,,,,,,,,,,,
1477,49250.3,7,576,641,,,,,,,9,416,688,,,,,,,7,624,803,,,,,,,,,,,,,,,
1478,49282.2,7,578,642,,,,,,,9,419,690,,,,,,,7,628,803,,,,,,,,,,,,,,,
1479,49318.0,8,581,642,,,,,,,9,422,693,,,,,,,7,632,803,,,,,,,,,,,,,,,
1480,49350.0,7,583,643,,,,,,,9,424,694,,,,,,,7,636,804,,,,,,,,,,,,,,,
1481,49382.1,8,586,644,,,,,,,9,427,697,,,,,,,7,640,804,,,,,,,,,,,,,,,
1482,49418.0,8,588,645,,,,,,,9,430,699,,,,,,,7,644,803,,,,,,,,,,,,,,,
1483,49450.1,7,590,645,,,,,,,9,433,701,,,,,,,7,647,803,,,,,,,,,,,,,,,
1484,49482.1,7,592,645,,,,,,,9,435,703,,,,,,,7,652,803,,,,,,,,,,,,,,,
1485,49518.6,7,594,646,,,,,,,9,437,705,,,,,,,7,655,803,,,,,,,,,,,,,,,
1486,49550.1,7,596,646,,,,,,,9,441,708,,,,,,,7,659,803,,,,,,,,,,,,,,,
1487,49590.2,7,598,647,,,,,,,9,443,710,,,,,,,7,663,803,,,,,,,,,,,,,,,
1488,49618.0,7,600,647,,,,,,,8,447,712,,,,,,,7,666,803,,,,,,,,,,,,,,,
1489,49650.1,7,603,648,,,,,,,9,449,714,,,,,,,7,670,803,,,,,,,,,,,,,,,
1490,49682.3,8,605,649,,,,,,,9,452,717,,,,,,,7,674,803,,,,,,,,,,,,,,,
1491,49717.9,7,607,649,,,,,,,9,455,719,,,,,,,7,678,803,,,,,,,,,,,,,,,
1492,49751.7,8,609,649,,,,,,,9,458,721,,,,,,,7,681,802,,,,,,,,,,,,,,,
1493,49787.6,8,611,650,,,,,,,8,460,723,,,,,,,7,685,802,,,,,,,,,,,,,,,
1494,49817.9,7,612,650,,,,,,,8,463,725,,,,,,,7,688,801,,,,,,,,,,,,,,,
1495,49858.8,7,615,651,,,,,,,9,465,727,,,,,,,7,692,801,,,,,,,,,,,,,,,
1496,49882.3,8,616,651,,,,,,,9,468,729,,,,,,,7,695,801,,,,,,,,,,,,,,,
1497,49921.2,7,618,652,,,,,,,9,471,731,,,,,,,7,699,801,,,,,,,,,,,,,,,
1498,49950.2,7,620,653,,,,,,,9,474,733,,,,,,,7,702,801,,,,,,,,,,,,,,,
1499,49982.0,7,622,653,,,,,,,8,477,735,,,,,,,6,706,800,,,,,,,,,,,,,,,
1500,50018.2,8,624,654,,,,,,,9,479,738,,,,,,,6,709,800,,,,,,,,,,,,,,,
1501,50050.5,7,626,654,,,,,,,9,482,740,,,,,,,6,713,799,,,,,,,,,,,,,,,
1502,50082.0,8,628,654,,,,,,,9,485,742,,,,,,,7,716,799,,,,,,,,,,,,,,,
1503,50118.1,8,629,654,,,,,,,9,487,743,,,,,,,6,719,799,,,,,,,,,,,,,,,
1504,50150.4,7,631,655,,,,,,,9,490,745,,,,,,,6,723,797,,,,,,,,,,,,,,,
1505,50182.2,7,633,655,,,,,,,9,492,747,,,,,,,7,726,797,,,,,,,,,,,,,,,
1506,50218.1,7,634,656,,,,,,,9,495,749,,,,,,,7,729,796,,,,,,,,,,,,,,,
1507,50250.0,8,636,657,,,,,,,9,498,751,,,,,,,7,731,796,,,,,,,,,,,,,,,
1508,50282.2,7,637,657,,,,,,,8,500,753,,,,,,,6,735,796,,,,,,,,,,,,,,,
1509,50317.8,7,639,657,,,,,,,8,503,755,,,,,,,7,738,795,,,,,,,,,,,,,,,
1510,50350.1,8,641,658,,,,,,,9,506,757,,,,,,,7,741,794,,,,,,,,,,,,,,,
1511,50382.0,8,643,658,,,,,,,9,509,759,,,,,,,7,744,793,,,,,,,,,,,,,,,
1512,50418.0,7,644,658,,,,,,,9,511,760,,,,,,,7,747,792,,,,,,,,,,,,,,,
1513,50451.4,8,645,658,,,,,,,8,514,762,,,,,,,7,750,791,,,,,,,,,,,,,,,
1514,50482.1,7,647,659,,,,,,,9,516,765,,,,,,,7,753,791,,,,,,,,,,,,,,,
1515,50518.2,7,648,659,,,,,,,8,519,766,,,,,,,7,755,790,,,,,,,,,,,,,,,
1516,50550.5,8,649,659,,,,,,,9,521,768,,,,,,,7,759,789,,,,,,,,,,,,,,,
1517,50582.4,8,651,660,,,,,,,9,524,769,,,,,,,6,762,788,,,,,,,,,,,,,,,
1518,50618.1,7,652,660,,,,,,,9,526,771,,,,,,,7,764,786,,,,,,,,,,,,,,,
1519,50650.1,8,654,660,,,,,,,9,529,773,,,,,,,6,767,786,,,,,,,,,,,,,,,
1520,50682.4,8,655,660,,,,,,,9,531,774,,,,,,,7,770,785,,,,,,,,,,,,,,,
1521,50718.1,7,656,660,,,,,,,9,534,776,,,,,,,7,773,784,,,,,,,,,,,,,,,
1522,50750.3,7,657,661,,,,,,,9,537,777,,,,,,,7,775,783,,,,,,,,,,,,,,,
1523,50782.2,8,659,661,,,,,,,9,540,779,,,,,,,7,778,782,,,,,,,,,,,,,,,
1524,50818.0,8,660,661,,,,,,,9,541,781,,,,,,,7,780,781,,,,,,,,,,,,,,,
1525,50850.2,7,661,661,,,,,,,9,544,782,,,,,,,6,782,780,,,,,,,,,,,,,,,
1526,50882.5,7,662,661,,,,,,,8,546,784,,,,,,,6,785,779,,,,,,,,,,,,,,,
1527,50918.0,7,663,661,,,,,,,9,549,785,,,,,,,7,788,778,,,,,,,,,,,,,,,
1528,50950.2,7,664,661,,,,,,,9,551,786,,,,,,,7,789,775,,,,,,,,,,,,,,,
1529,50982.2,7,665,662,,,,,,,9,554,787,,,,,,,7,791,774,,,,,,,,,,,,,,,
1530,51018.4,7,666,661,,,,,,,9,556,789,,,,,,,7,794,773,,,,,,,,,,,,,,,
1531,51050.4,7,667,661,,,,,,,9,558,790,,,,,,,7,796,772,,,,,,,,,,,,,,,
1532,51082.2,8,668,662,,,,,,,9,561,792,,,,,,,6,799,770,,,,,,,,,,,,,,,
1533,51118.0,7,669,662,,,,,,,9,563,793,,,,,,,6,801,769,,,,,,,,,,,,,,,
1534,51150.2,8,671,663,,,,,,,9,565,794,,,,,,,6,802,768,,,,,,,,,,,,,,,
1535,51182.1,7,671,662,,,,,,,9,568,796,,,,,,,7,804,766,,,,,,,,,,,,,,,
1536,51218.4,8,672,662,,,,,,,8,570,796,,,,,,,7,806,765,,,,,,,,,,,,,,,
1537,51253.6,8,672,662,,,,,,,9,573,797,,,,,,,7,808,763,,,,,,,,,,,,,,,
1538,51282.3,8,673,662,,,,,,,9,575,798,,,,,,,7,809,761,,,,,,,,,,,,,,,
1539,51318.3,7,673,661,,,,,,,9,576,799,,,,,,,7,811,760,,,,,,,,,,,,,,,
1540,51352.4,7,674,662,,,,,,,9,579,800,,,,,,,7,813,759,,,,,,,,,,,,,,,
1541,51382.2,7,675,661,,,,,,,9,581,801,,,,,,,7,815,756,,,,,,,,,,,,,,,
1542,51417.9,7,675,661,,,,,,,9,583,803,,,,,,,7,816,755,,,,,,,,,,,,,,,
1543,51453.2,7,676,661,,,,,,,9,586,803,,,,,,,6,818,754,,,,,,,,,,,,,,,
1544,51482.5,7,677,661,,,,,,,9,587,804,,,,,,,7,819,752,,,,,,,,,,,,,,,
1545,51519.0,7,677,661,,,,,,,9,589,805,,,,,,,6,821,750,,,,,,,,,,,,,,,
1546,51550.2,8,677,661,,,,,,,9,591,806,,,,,,,7,822,748,,,,,,,,,,,,,,,
1547,51581.9,8,678,661,,,,,,,9,593,808,,,,,,,7,824,746,,,,,,,,,,,,,,,
1548,51618.0,8,678,660,,,,,,,9,596,807,,,,,,,7,825,744,,,,,,,,,,,,,,,
1549,51650.5,7,678,660,,,,,,,8,596,808,,,,,,,6,826,743,,,,,,,,,,,,,,,
1550,51682.3,7,678,660,,,,,,,9,599,809,,,,,,,6,827,741,,,,,,,,,,,,,,,
1551,51718.0,8,679,660,,,,,,,9,601,810,,,,,,,7,828,739,,,,,,,,,,,,,,,
1552,51754.8,8,679,660,,,,,,,8,602,810,,,,,,,7,829,738,,,,,,,,,,,,,,,
1553,51782.3,7,679,660,,,,,,,9,605,812,,,,,,,7,830,736,,,,,,,,,,,,,,,
1554,51823.1,8,679,660,,,,,,,9,607,812,,,,,,,7,831,734,,,,,,,,,,,,,,,
1555,51857.2,8,679,659,,,,,,,9,608,813,,,,,,,7,832,732,,,,,,,,,,,,,,,
1556,51882.2,8,680,659,,,,,,,10,611,814,,,,,,,7,833,730,,,,,,,,,,,,,,,
1557,51918.3,8,680,659,,,,,,,9,612,814,,,,,,,7,834,728,,,,,,,,,,,,,,,
1558,51955.6,8,679,658,,,,,,,9,614,814,,,,,,,7,834,726,,,,,,,,,,,,,,,
1559,51983.9,8,679,658,,,,,,,9,615,815,,,,,,,7,834,724,,,,,,,,,,,,,,,
1560,52018.0,7,679,658,,,,,,,9,617,816,,,,,,,7,835,722,,,,,,,,,,,,,,,
1561,52053.2,8,679,657,,,,,,,9,618,816,,,,,,,7,836,720,,,,,,,,,,,,,,,
1562,52082.3,8,679,658,,,,,,,9,620,816,,,,,,,7,836,718,,,,,,,,,,,,,,,
1563,52118.5,8,679,658,,,,,,,9,621,817,,,,,,,7,837,716,,,,,,,,,,,,,,,
1564,52150.2,8,678,658,,,,,,,9,623,817,,,,,,,7,837,715,,,,,,,,,,,,,,,
1565,52182.0,7,678,657,,,,,,,9,624,817,,,,,,,7,837,712,,,,,,,,,,,,,,,
1566,52217.9,8,678,656,,,,,,,9,626,818,,,,,,,7,837,711,,,,,,,,,,,,,,,
1567,52251.2,8,677,656,,,,,,,9,626,818,,,,,,,7,837,708,,,,,,,,,,,,,,,
1568,52282.3,7,677,656,,,,,,,9,629,819,,,,,,,7,837,706,,,,,,,,,,,,,,,
1569,52318.5,7,676,656,,,,,,,9,630,819,,,,,,,7,838,705,,,,,,,,,,,,,,,
1570,52350.1,8,676,655,,,,,,,9,630,819,,,,,,,7,837,702,,,,,,,,,,,,,,,
1571,52382.6,7,675,655,,,,,,,9,632,819,,,,,,,7,837,700,,,,,,,,,,,,,,,
1572,52418.1,7,675,655,,,,,,,9,633,819,,,,,,,7,837,699,,,,,,,,,,,,,,,
1573,52450.1,8,675,655,,,,,,,9,634,819,,,,,,,7,837,697,,,,,,,,,,,,,,,
1574,52485.2,8,674,654,,,,,,,9,635,819,,,,,,,7,837,695,,,,,,,,,,,,,,,
1575,52521.0,8,673,654,,,,,,,9,636,820,,,,,,,7,836,693,,,,,,,,,,,,,,,
1576,52550.2,8,673,653,,,,,,,9,637,819,,,,,,,7,836,690,,,,,,,,,,,,,,,
1577,52582.4,8,671,653,,,,,,,9,638,819,,,,,,,7,835,688,,,,,,,,,,,,,,,
1578,52617.9,8,671,653,,,,,,,9,639,819,,,,,,,7,835,687,,,,,,,,,,,,,,,
1579,52650.3,8,670,653,,,,,,,9,640,820,,,,,,,7,834,685,,,,,,,,,,,,,,,
1580,52682.2,8,669,652,,,,,,,9,641,819,,,,,,,7,834,683,,,,,,,,,,,,,,,
1581,52718.6,8,668,652,,,,,,,10,641,819,,,,,,,7,833,681,,,,,,,,,,,,,,,
1582,52750.2,8,667,652,,,,,,,9,642,820,,,,,,,7,832,679,,,,,,,,,,,,,,,
1583,52782.6,8,666,651,,,,,,,9,642,820,,,,,,,7,831,677,,,,,,,,,,,,,,,
1584,52818.9,8,665,651,,,,,,,9,643,820,,,,,,,7,830,675,,,,,,,,,,,,,,,
1585,52850.0,8,664,651,,,,,,,10,643,819,,,,,,,7,829,673,,,,,,,,,,,,,,,
1586,52882.2,8,663,650,,,,,,,9,644,819,,,,,,,7,828,671,,,,,,,,,,,,,,,
1587,52918.6,8,662,650,,,,,,,9,644,819,,,,,,,7,827,669,,,,,,,,,,,,,,,
1588,52950.0,8,660,650,,,,,,,9,644,819,,,,,,,7,826,667,,,,,,,,,,,,,,,
1589,52982.2,8,659,650,,,,,,,9,645,819,,,,,,,7,825,665,,,,,,,,,,,,,,,
1590,53018.1,8,657,649,,,,,,,9,645,819,,,,,,,7,824,663,,,,,,,,,,,,,,,
1591,53052.6,8,656,649,,,,,,,10,645,819,,,,,,,7,822,661,,,,,,,,,,,,,,,
1592,53082.1,8,655,649,,,,,,,10,646,819,,,,,,,7,821,659,,,,,,,,,,,,,,,
1593,53118.2,8,653,648,,,,,,,10,646,819,,,,,,,7,819,657,,,,,,,,,,,,,,,
1594,53150.2,8,652,648,,,,,,,9,646,818,,,,,,,7,818,656,,,,,,,,,,,,,,,
1595,53182.3,8,650,648,,,,,,,9,646,817,,,,,,,7,816,654,,,,,,,,,,,,,,,
1596,53219.0,8,649,647,,,,,,,9,646,817,,,,,,,7,815,652,,,,,,,,,,,,,,,
1597,53250.5,8,647,647,,,,,,,9,645,817,,,,,,,7,813,650,,,,,,,,,,,,,,,
1598,53282.3,8,646,646,,,,,,,9,645,816,,,,,,,7,811,648,,,,,,,,,,,,,,,
1599,53318.7,8,643,646,,,,,,,9,644,816,,,,,,,7,809,647,,,,,,,,,,,,,,,
1600,53352.2,8,642,646,,,,,,,10,644,816,,,,,,,7,807,645,,,,,,,,,,,,,,,
1601,53382.8,8,640,646,,,,,,,9,643,815,,,,,,,7,805,643,,,,,,,,,,,,,,,
1602,53418.1,8,637,645,,,,,,,9,644,816,,,,,,,7,803,641,,,,,,,,,,,,,,,
1603,53453.3,8,635,645,,,,,,,9,643,815,,,,,,,7,801,639,,,,,,,,,,,,,,,
1604,53482.5,7,633,645,,,,,,,9,642,814,,,,,,,7,799,637,,,,,,,,,,,,,,,
1605,53519.2,8,631,645,,,,,,,9,642,814,,,,,,,7,797,636,,,,,,,,,,,,,,,
1606,53550.2,8,630,644,,,,,,,9,642,814,,,,,,,7,795,634,,,,,,,,,,,,,,,
1607,53582.2,8,627,644,,,,,,,10,641,814,,,,,,,7,793,632,,,,,,,,,,,,,,,
1608,53618.0,8,625,644,,,,,,,9,641,813,,,,,,,7,790,630,,,,,,,,,,,,,,,
1609,53653.2,8,623,644,,,,,,,9,640,813,,,,,,,7,788,628,,,,,,,,,,,,,,,
1610,53682.2,8,620,643,,,,,,,9,639,813,,,,,,,7,785,626,,,,,,,,,,,,,,,
1611,53718.1,8,618,643,,,,,,,9,638,812,,,,,,,7,782,625,,,,,,,,,,,,,,,
1612,53750.2,8,615,643,,,,,,,9,637,812,,,,,,,7,780,623,,,,,,,,,,,,,,,
1613,53782.2,8,613,643,,,,,,,9,636,810,,,,,,,7,777,621,,,,,,,,,,,,,,,
1614,53818.3,8,610,643,,,,,,,9,636,811,,,,,,,7,774,619,,,,,,,,,,,,,,,
1615,53850.4,7,608,643,,,,,,,9,635,810,,,,,,,7,771,618,,,,,,,,,,,,,,,
1616,53882.1,8,605,642,,,,,,,9,633,810,,,,,,,7,768,616,,,,,,,,,,,,,,,
1617,53918.5,8,603,642,,,,,,,9,632,810,,,,,,,7,765,614,,,,,,,,,,,,,,,
1618,53950.3,8,600,642,,,,,,,9,632,809,,,,,,,7,762,612,,,,,,,,,,,,,,,
1619,53982.5,7,597,642,,,,,,,9,630,808,,,,,,,7,759,610,,,,,,,,,,,,,,,
1620,54017.9,7,594,642,,,,,,,9,629,808,,,,,,,7,756,608,,,,,,,,,,,,,,,
1621,54050.1,8,592,642,,,,,,,9,628,808,,,,,,,7,753,607,,,,,,,,,,,,,,,
1622,54082.2,8,589,642,,,,,,,9,626,807,,,,,,,7,750,605,,,,,,,,,,,,,,,
1623,54118.3,8,586,642,,,,,,,8,625,807,,,,,,,7,746,603,,,,,,,,,,,,,,,
1624,54150.1,8,583,642,,,,,,,9,624,806,,,,,,,7,743,601,,,,,,,,,,,,,,,
1625,54182.1,7,580,641,,,,,,,9,623,806,,,,,,,7,740,600,,,,,,,,,,,,,,,
1626,54218.0,8,577,641,,,,,,,9,621,805,,,,,,,7,736,598,,,,,,,,,,,,,,,
1627,54250.1,8,574,641,,,,,,,8,620,804,,,,,,,7,732,596,,,,,,,,,,,,,,,
1628,54283.8,8,571,641,,,,,,,9,618,803,,,,,,,7,729,595,,,,,,,,,,,,,,,
1629,54317.9,8,567,641,,,,,,,9,617,803,,,,,,,7,726,593,,,,,,,,,,,,,,,
1630,54350.3,8,564,641,,,,,,,9,616,803,,,,,,,7,722,591,,,,,,,,,,,,,,,
