frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,132.4,9,763,31,,,,,,,,,,,,,,,,,,,,,,,,,39,274,709,18.65716384157238,48.27711373603948,,,,,,,,,,,,,
1,132.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,273,710,18.589072002734525,48.34520557487734,,,,,,,,,,,,,
2,232.7,7,1015,651,69.11321642042324,44.327787083443866,,,,,,,,,,,,,,,,,,,,,,,40,276,714,,,,,,,,,,,,,,,
3,253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,194,667,13.20981673454395,45.417256504849554,,,,,,,,,,,,,
4,271.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,194,667,13.20981673454395,45.417256504849554,,,,,,,,,,,,,
5,281.3,14,1094,787,74.49247168861382,53.588277165392206,47.84249762582476,82.36176806471106,-2586.0809527472848,-4451.987462957354,,,,,,,,,,10,188,800,12.801265701516817,54.473471070284326,,,,,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,,,,
6,299.3,14,1093,787,74.42437984977596,53.588277165392206,,,,,,,,,,,,,,13,191,805,13.005541218030382,54.813930264473605,,,,,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,,,,
7,309.5,14,1094,787,74.49247168861382,53.588277165392206,,,,,,,,,,,,,,13,191,805,13.005541218030382,54.813930264473605,,,,,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,,,,
8,318.3,14,1094,787,74.49247168861382,53.588277165392206,-0.46889009102750023,0.0,-25.345410325810825,0.0,,,,,,,,,,13,191,805,13.005541218030382,54.813930264473605,3.350125511366451,5.114652427916643,-117.34239969759906,-220.91607648847798,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,0.0,0.0,0.0,0.0
9,318.3,14,1094,787,74.49247168861382,53.588277165392206,2.9480028510567324,0.0,-66.92401477994855,0.0,,,,,,,,,,13,191,804,13.005541218030382,54.745838425635746,0.0,-2.810888382636974,0.0,81.35711671887049,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,0.0,0.0,0.0,0.0
10,338.6,14,1094,787,74.49247168861382,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,13,191,805,13.005541218030382,54.813930264473605,0.0,-0.15402974375295886,0.0,-10.586236684052148,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,0.0,0.0,0.0,0.0
11,375.4,14,1093,787,74.42437984977596,53.588277165392206,-0.5095342655800649,0.0,23.92179650610629,0.0,,,,,,,,,,13,191,804,13.005541218030382,54.745838425635746,-0.24870811398746756,-0.5095342655800649,-8.711317477669624,23.92179650610629,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,0.24870811398746756,0.0,8.711317477669624,0.0
12,406.4,14,1094,787,74.49247168861382,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,13,191,805,13.005541218030382,54.813930264473605,0.0,0.41108687642832054,0.0,-8.213524004561847,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,0.0,0.0,0.0,0.0
13,438.4,14,1094,787,74.49247168861382,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,13,191,804,13.005541218030382,54.745838425635746,0.0,-0.34148296010368423,0.0,6.829659202073684,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,0.0,0.0,0.0,0.0
14,475.1,14,1094,787,74.49247168861382,53.588277165392206,0.3401080815994921,0.0,-6.877817625874462,0.0,,,,,,,,,,13,190,805,12.937449379192527,54.813930264473605,0.0055245079089937576,-0.005524507908994034,13.811269772483291,-13.81126977248401,,,,,,,,,,12,175,716,11.916071796624696,48.75375660790447,-0.0055245079089937576,0.0,-13.811269772483291,0.0
15,506.5,14,1094,787,74.49247168861382,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,13,191,805,13.005541218030382,54.813930264473605,0.0,-0.3431986116791195,0.0,-6.857115118463924,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,0.0,0.0,0.0,0.0
16,538.4,14,1094,787,74.49247168861382,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,13,191,804,13.005541218030382,54.745838425635746,0.0,0.33541125480448564,0.0,6.708225096089713,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,0.0,0.0,0.0,0.0
17,574.0,14,1094,787,74.49247168861382,53.588277165392206,-0.31409315409526944,0.0,-6.351732135394732,0.0,,,,,,,,,,13,191,804,13.005541218030382,54.745838425635746,0.35470827444331626,-0.35470827444333475,-6.7499195897871775,6.74991958978753,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,-0.35470827444331626,0.0,6.7499195897871775,0.0
18,606.0,14,1094,787,74.49247168861382,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,13,191,804,13.005541218030382,54.745838425635746,0.0,-0.3442210137085208,0.0,6.836564323903092,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,0.0,0.0,0.0,0.0
19,639.4,14,1094,787,74.49247168861382,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,14,191,805,13.005541218030382,54.813930264473605,0.0,-0.006741766221570182,0.0,-13.483532443140323,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,0.34215302102603795,0.0,6.775307347050256,0.0
20,679.1,14,1093,787,74.42437984977596,53.588277165392206,-0.3086049347217794,0.0,6.456170182464002,0.0,,,,,,,,,,13,191,804,13.005541218030382,54.745838425635746,0.0,0.3729859853410001,0.0,7.097735211056137,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,0.0,0.0,0.0,0.0
21,706.7,14,1094,787,74.49247168861382,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,14,191,804,13.005541218030382,54.745838425635746,0.0,0.34267278551978614,0.0,6.805815005358213,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,0.0,0.0,0.0,0.0
22,739.4,14,1094,787,74.49247168861382,53.588277165392206,-0.34354491461234143,0.0,-6.870898292246828,0.0,,,,,,,,,,14,191,804,13.005541218030382,54.745838425635746,0.0,0.004110171358422313,0.0,13.700571194740174,,,,,,,,,,12,175,716,11.916071796624696,48.75375660790447,-0.004110171358422149,0.0,-13.700571194739458,0.0
23,774.7,14,1093,787,74.42437984977596,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,14,191,805,13.005541218030382,54.813930264473605,0.0,0.02860472804937604,0.0,-14.302364024688433,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,0.0,0.0,0.0,0.0
24,806.5,14,1094,787,74.49247168861382,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,14,191,805,13.005541218030382,54.813930264473605,0.0,0.00272368444825267,0.0,-13.618422241260689,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,0.0,0.0,0.0,0.0
25,838.8,14,1093,787,74.42437984977596,53.588277165392206,-0.005469289898100285,0.0,13.673224745249668,0.0,,,,,,,,,,14,191,805,13.005541218030382,54.813930264473605,0.0,0.3438870825934282,0.0,-6.864013624619323,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,-0.3438870825934103,0.0,6.864013624618965,0.0
26,874.3,14,1093,787,74.42437984977596,53.588277165392206,0.33774637192483603,0.0,6.7820556611412925,0.0,,,,,,,,,,14,191,804,13.005541218030382,54.745838425635746,0.3377463719248184,0.33229893765882257,6.782055661140938,20.40064132608295,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,0.0,0.0,0.0,0.0
27,906.7,14,1094,787,74.49247168861382,53.588277165392206,-0.34182376009786763,0.0,-6.822829542871608,0.0,,,,,,,,,,14,191,804,13.005541218030382,54.745838425635746,0.0,0.00272368444825267,0.0,13.618422241260689,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,0.0,0.0,0.0,0.0
28,939.0,14,1094,787,74.49247168861382,53.588277165392206,-0.00272368444825267,0.0,-13.618422241260689,0.0,,,,,,,,,,14,191,805,13.005541218030382,54.813930264473605,0.0,-0.34182376009786763,0.0,-6.822829542871608,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,0.0,0.0,0.0,0.0
29,974.7,14,1094,787,74.49247168861382,53.588277165392206,0.33808649099995025,0.0,-6.775280380760529,0.0,,,,,,,,,,14,192,806,13.073633056868237,54.882022103311456,-0.00407738817303147,0.334009102826919,-13.591293910102085,-20.3665742908619,,,,,,,,,,12,174,716,11.84797995778684,48.75375660790447,0.3421638791729641,0.0,6.816013529341909,0.0
