frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,130.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,43,409,,,,,,,,,,,,,,,
1,130.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,44,410,,,,,,,,,,,,,,,
2,228.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,110,425,,,,,,,,,,,,,,,
19,646.4,15,1090,787,74.2201043332624,53.588277165392206,0.0,0.34028887994449053,0.0,-6.792193212464879,,,,,,,,,,13,187,805,12.73317386267896,54.813930264473605,0.0,0.0,0.0,0.0,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,-0.3396099995550233,0.0,-6.78541457652394,0.0
20,682.5,15,1090,787,74.2201043332624,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,13,187,804,12.73317386267896,54.745838425635746,0.0,-0.3380864909999508,0.0,6.775280380760541,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,0.0,-0.3380864909999508,0.0,6.775280380760541
21,716.0,15,1089,787,74.15201249442454,53.588277165392206,-0.0484949617957327,0.35235197124275913,12.59609397291767,-6.53108380431435,,,,,,,,,,13,187,804,12.73317386267896,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,-0.30385700944701055,0.0,-6.065010168603004,0.0
22,746.6,15,1090,787,74.2201043332624,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,13,187,805,12.73317386267896,54.813930264473605,0.0,0.0,0.0,0.0,,,,,,,,,,12,158,742,10.758510536381154,50.52414441768871,0.0034080204104263664,0.0,13.632081641702573,0.0
23,782.3,15,1090,787,74.2201043332624,53.588277165392206,0.0,-0.3406293382024127,0.0,-6.826239242533324,,,,,,,,,,13,187,804,12.73317386267896,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
24,823.9,15,1090,787,74.2201043332624,53.588277165392206,0.2875131534626578,-0.41051129102145983,-6.367954672484111,-7.609106413743465,,,,,,,,,,13,187,804,12.73317386267896,54.745838425635746,0.0,0.41051129102145983,0.0,7.609106413743465,,,,,,,,,,12,158,742,10.758510536381154,50.52414441768871,0.12299813755879556,0.41051129102145983,13.977061086226847,7.609106413743465
25,846.3,15,1090,787,74.2201043332624,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,13,187,805,12.73317386267896,54.813930264473605,0.0,-0.3404585112233724,0.0,-6.829659202073674,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.3418258131057367,0.0,-6.8433596217364645,0.0
26,882.2,15,1090,786,74.2201043332624,53.52018532655435,-0.3397789560390653,-0.0013618381385941134,-6.802381502283585,13.61838138595311,,,,,,,,,,13,187,804,12.73317386267896,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
27,914.2,15,1090,786,74.2201043332624,53.52018532655435,0.0,-0.07382429537361902,0.0,15.066182729310253,,,,,,,,,,13,187,805,12.73317386267896,54.813930264473605,0.0,0.3964372416216276,0.0,-7.920824008424134,,,,,,,,,,12,159,743,10.826602375219009,50.59223625652657,0.07382429537361518,0.3964372416216276,-15.066182729309467,-7.920824008424134
28,946.2,15,1090,787,74.2201043332624,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,13,187,804,12.73317386267896,54.745838425635746,0.0,-0.0020407185280443938,0.0,13.604790186965122,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
29,982.3,15,1089,787,74.15201249442454,53.588277165392206,-0.00938259517556421,0.00938259517556421,13.403707393662238,-13.403707393662238,,,,,,,,,,13,187,804,12.73317386267896,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
30,1014.3,15,1090,787,74.2201043332624,53.588277165392206,0.0,0.33994910056389754,0.0,-6.798982011277951,,,,,,,,,,13,187,805,12.73317386267896,54.813930264473605,0.0,-0.34062933871412526,0.0,-6.805780993289221,,,,,,,,,,12,158,743,10.758510536381154,50.59223625652657,0.0006802381502276391,-0.34062933871412526,13.604763004566463,-6.805780993289221
31,1046.4,15,1090,787,74.2201043332624,53.588277165392206,0.0,-0.3423377813055703,0.0,-6.833089447216969,,,,,,,,,,13,187,805,12.73317386267896,54.813930264473605,0.0,-0.003408020410427295,0.0,-13.632081641703302,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
32,1083.8,15,1090,786,74.2201043332624,53.52018532655435,-0.019731045736846007,0.019731045736846007,-13.607617749549563,13.607617749549563,,,,,,,,,,14,187,804,12.73317386267896,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
33,1114.3,15,1090,787,74.2201043332624,53.588277165392206,0.0,-0.34148296010368423,0.0,-6.829659202073684,,,,,,,,,,14,187,804,12.73317386267896,54.745838425635746,0.0,-0.34011839419510953,0.0,6.815999883669534,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.3401183941950918,-0.34011839419510953,-6.815999883669178,6.815999883669534
34,1146.1,15,1090,786,74.2201043332624,53.52018532655435,0.0,-0.3423377813055703,0.0,6.833089447216969,,,,,,,,,,14,187,804,12.73317386267896,54.745838425635746,0.0,-1.020197303095821,0.0,-6.764894941754983,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
35,1182.4,15,1089,787,74.15201249442454,53.588277165392206,-0.008986612422686162,0.008986612422686162,13.825557573366192,-13.825557573366192,,,,,,,,,,13,187,804,12.73317386267896,54.745838425635746,0.0,-0.33856805467497114,0.0,-6.867506180019689,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
36,1214.1,15,1090,786,74.2201043332624,53.52018532655435,0.0,-0.00272368444825267,0.0,13.618422241260689,,,,,,,,,,14,187,804,12.73317386267896,54.745838425635746,0.0,-0.6782001512991945,0.0,-13.591185396777453,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
37,1246.3,15,1090,786,74.2201043332624,53.52018532655435,0.0,0.0,0.0,0.0,,,,,,,,,,14,187,802,12.73317386267896,54.609654747960036,0.0,0.0054473688965050145,0.0,27.23684448251996,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
38,1282.3,15,1090,786,74.2201043332624,53.52018532655435,0.340970479423189,-0.340970479423189,-6.819409588463778,6.819409588463778,,,,,,,,,,14,187,803,12.73317386267896,54.67774658679789,0.0,-0.000681599988367943,0.0,13.631999767339082,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
39,1314.3,15,1090,787,74.2201043332624,53.588277165392206,0.0,0.339100075649615,0.0,-6.795592698389081,,,,,,,,,,14,187,802,12.73317386267896,54.609654747960036,0.0,0.3472711289943728,0.0,34.059674025391566,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
40,1346.1,15,1090,786,74.2201043332624,53.52018532655435,0.0,0.0,0.0,0.0,,,,,,,,,,13,187,804,12.73317386267896,54.745838425635746,0.0,0.34369824940216437,0.0,-20.458269722887515,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,-0.33960864128457446,0.0,-6.805784394480454,0.0
41,1382.3,15,1090,786,74.2201043332624,53.52018532655435,0.0,0.0,0.0,0.0,,,,,,,,,,13,187,804,12.73317386267896,54.745838425635746,0.3329307965522466,0.3429936298780472,6.658615931044931,-6.758495170010781,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
42,1414.1,15,1090,787,74.2201043332624,53.588277165392206,0.0,-0.34011839419510953,0.0,-6.815999883669534,,,,,,,,,,14,187,805,12.73317386267896,54.813930264473605,0.0,0.3442120919207981,0.0,-34.12097737355941,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
43,1446.2,15,1090,786,74.2201043332624,53.52018532655435,0.0,0.0,0.0,0.0,,,,,,,,,,14,187,803,12.73317386267896,54.67774658679789,0.3396099995550323,-0.0006788803894487665,6.785414576524113,13.577607788989155,,,,,,,,,,12,158,742,10.758510536381154,50.52414441768871,-0.0006788803894487125,-0.33960999955500576,13.577607788988448,-6.785414576523582
44,1483.8,15,1090,786,74.2201043332624,53.52018532655435,0.0,0.35189419541834077,0.0,6.933875771789966,,,,,,,,,,14,188,804,12.801265701516817,54.745838425635746,-0.02183863454902258,-0.35189419541834077,-13.649146593138903,-6.933875771789966,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
45,1514.1,15,1090,786,74.2201043332624,53.52018532655435,0.0,-0.0006802381502292065,0.0,13.60476300456714,,,,,,,,,,14,187,803,12.73317386267896,54.67774658679789,0.0,-0.34130957686435476,0.0,20.410543997856355,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
46,1546.4,15,1090,786,74.2201043332624,53.52018532655435,-0.34028887994449103,0.34028887994449103,-6.7921932124648885,6.7921932124648885,,,,,,,,,,14,188,804,12.801265701516817,54.745838425635746,0.3396099995550319,0.33960999955504073,-6.785414576524119,-6.785414576524297,,,,,,,,,,13,159,741,10.826602375219009,50.45605257885086,0.3396099995550231,0.0006788803894502258,-6.785414576523943,13.57760778898777
