frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,132.1,15,42,673,2.859857231189927,45.825807537876685,,,,,,,,,,,,,,,,,,,,,,,26,753,756,,,,,,,,,,,,,,,
1,132.1,17,45,674,3.064132747703493,45.89389937671454,,,,,,,,,,,,,,,,,,,,,,,58,365,296,,,,,,,,,,,,,,,
2,225.3,13,140,695,9.532857437299757,47.3238279923095,,,,,,,,,,,,,,,,,,,,,,,21,273,734,,,,,,,,,,,,,,,
3,246.0,11,1098,786,74.76483904396524,53.52018532655435,182.25615849386764,19.613751197414754,-7884.865096660547,-841.7918968847529,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,157,744,10.690418697543299,50.66032809536442,,,,
4,270.4,11,1098,786,74.76483904396524,53.52018532655435,136.25399875687097,14.599280482336875,-5526.960030426953,-586.3164852344124,,,,,,,,,,12,200,804,13.618367767571081,54.745838425635746,,,,,,,,,,,,,,12,157,744,10.690418697543299,50.66032809536442,,,,
5,283.4,11,1098,786,74.76483904396524,53.52018532655435,435.377564412452,41.35632396819743,-23661.82415285064,-2247.6263026194247,,,,,,,,,,11,198,801,13.48218408989537,54.54156290912218,,,,,,,,,,,,,,,,,,,,,,
6,292.6,11,1097,786,74.69674720512738,53.52018532655435,-0.6418018824163033,0.0,35.16722643377005,0.0,,,,,,,,,,12,201,804,13.686459606408937,54.745838425635746,,,,,,,,,,,,,,,,,,,,,,
7,320.2,11,1097,786,74.69674720512738,53.52018532655435,-0.4370896231938391,0.0,37.35808745246482,0.0,,,,,,,,,,10,198,801,13.48218408989537,54.54156290912218,5.064894548843557,4.627804925649782,313.23319479372987,350.5912822461958,,,,,,,,,,,,,,,,,,
8,320.2,11,1098,786,74.76483904396524,53.52018532655435,-0.4919920891933247,0.0,-26.7387004996372,0.0,,,,,,,,,,11,198,801,13.48218408989537,54.54156290912218,1.47597626757991,1.4759762675799226,80.21610149890812,80.21610149890881,,,,,,,,,,,,,,,,,,
9,329.1,11,1097,786,74.69674720512738,53.52018532655435,0.2531552959085144,0.0,13.871523063480241,0.0,,,,,,,,,,13,201,804,13.686459606408937,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
10,343.6,11,1097,786,74.69674720512738,53.52018532655435,0.07735038207019115,0.0,6.611143766682994,0.0,,,,,,,,,,13,201,804,13.686459606408937,54.745838425635746,7.417741447432018,7.340391065361891,-112.13516927334877,-118.74631304003275,,,,,,,,,,,,,,,,,,
11,375.5,11,1097,786,74.69674720512738,53.52018532655435,-0.734658960795612,0.0,17.96232177984381,0.0,,,,,,,,,,13,201,804,13.686459606408937,54.745838425635746,2.632228415222396,2.6322284152224187,-38.39866397115092,-38.39866397115125,,,,,,,,,,,,,,,,,,
12,411.6,11,1098,786,74.76483904396524,53.52018532655435,0.30950835835390283,0.0,-12.505388216319306,0.0,,,,,,,,,,13,201,804,13.686459606408937,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
13,475.9,11,1098,786,74.76483904396524,53.52018532655435,0.221304690715984,0.0,-4.4349637418032835,0.0,,,,,,,,,,13,201,803,13.686459606408937,54.67774658679789,0.0,0.16760541205088905,0.0,10.314179203131678,,,,,,,,,,,,,,,,,,
14,512.6,12,1098,786,74.76483904396524,53.52018532655435,0.2080111483027253,0.0,-4.210751989933713,0.0,,,,,,,,,,13,201,804,13.686459606408937,54.745838425635746,-0.8010832065901403,-0.8010832065901403,-11.686115340483445,-11.686115340483445,,,,,,,,,,,,,,,,,,
15,543.6,11,1097,786,74.69674720512738,53.52018532655435,0.165752724443782,0.0,10.327272551014444,0.0,,,,,,,,,,13,201,804,13.686459606408937,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
16,575.7,11,1098,786,74.76483904396524,53.52018532655435,-0.34062933820241353,0.0,-6.826239242533331,0.0,,,,,,,,,,13,201,804,13.686459606408937,54.745838425635746,0.0,0.34131230412262026,0.0,-6.8330791616140205,,,,,,,,,,,,,,,,,,
17,611.4,11,1098,786,74.76483904396524,53.52018532655435,0.0,0.0,0.0,0.0,,,,,,,,,,11,199,802,13.550275928733226,54.609654747960036,-0.017901003953377886,-0.017901003953377886,27.540006082118328,27.540006082118328,,,,,,,,,,,,,,,,,,
18,643.5,11,1098,786,74.76483904396524,53.52018532655435,0.0074233662099373095,0.0,-13.497029472612937,0.0,,,,,,,,,,13,201,804,13.686459606408937,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
19,675.6,11,1097,786,74.69674720512738,53.52018532655435,-0.001361838138595577,0.0,13.61838138595311,0.0,,,,,,,,,,12,201,804,13.686459606408937,54.745838425635746,0.0,-0.33977895603906466,0.0,-6.802381502283577,,,,,,,,,,,,,,,,,,
20,711.5,11,1098,786,74.76483904396524,53.52018532655435,0.0,0.0,0.0,0.0,,,,,,,,,,13,201,804,13.686459606408937,54.745838425635746,0.6798982011277586,0.6798982011277586,-13.597964022555168,-13.597964022555168,,,,,,,,,,,,,,,,,,
21,744.5,11,1097,786,74.69674720512738,53.52018532655435,-0.03361369800030239,0.0,12.684414339736904,0.0,,,,,,,,,,13,201,804,13.686459606408937,54.745838425635746,0.0,-0.6241857726948841,0.0,-12.360114310789783,,,,,,,,,,,,,,,,,,
22,775.7,11,1098,786,74.76483904396524,53.52018532655435,0.33977895603906466,0.0,-6.802381502283577,0.0,,,,,,,,,,13,201,803,13.686459606408937,54.67774658679789,0.0,-0.33977895603906466,0.0,6.802381502283577,,,,,,,,,,,,,,,,,,
23,811.5,12,1098,786,74.76483904396524,53.52018532655435,-0.33944019472472936,0.0,-6.7888038944945865,0.0,,,,,,,,,,13,201,804,13.686459606408937,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
