frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,129.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,318,676,,,,,,,,,,,,,,,
1,129.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,281,663,,,,,,,,,,,,,,,
2,240.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,282,653,,,,,,,,,,,,,,,
3,260.9,14,1087,786,74.01582881674882,53.52018532655435,,,,,13,271,804,18.452888325058815,54.745838425635746,,,,,13,186,732,12.665082023841105,49.84322602931016,,,,,,,,,,,,,,12,182,647,12.392714668489683,44.055419728092446,,,,
4,278.6,15,1088,785,74.08392065558668,53.452093487716496,,,,,14,271,804,18.452888325058815,54.745838425635746,,,,,12,185,732,12.59699018500325,49.84322602931016,,,,,,,,,,,,,,12,182,647,12.392714668489683,44.055419728092446,,,,
5,298.2,15,1087,786,74.01582881674882,53.52018532655435,,,,,14,271,804,18.452888325058815,54.745838425635746,,,,,13,186,732,12.665082023841105,49.84322602931016,,,,,,,,,,,,,,12,182,646,12.392714668489683,43.987327889254594,,,,
6,298.2,15,1087,786,74.01582881674882,53.52018532655435,0.0,0.0,0.0,0.0,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,13,186,732,12.665082023841105,49.84322602931016,-2.681686821509868,-5.363373643019876,-143.79017809704382,-287.5803561940951,,,,,,,,,,12,182,646,12.392714668489683,43.987327889254594,0.0,-3.475510761166354,0.0,-88.47143665756742
7,307.2,15,1087,786,74.01582881674882,53.52018532655435,-1.408092970972704,1.408092970972557,68.02381502283588,-68.02381502282879,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,13,185,731,12.59699018500325,49.7751341904723,0.6719898518849728,-4.096052378512595,46.99229733461354,-119.94537431561828,,,,,,,,,,12,182,646,12.392714668489683,43.987327889254594,0.0,-3.42406252662751,0.0,-72.95307698101429
8,317.4,15,1086,786,73.94773697791096,53.52018532655435,-2.7290209018024347,0.0,85.14885809055956,0.0,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,13,186,731,12.665082023841105,49.7751341904723,0.0,-3.9532515978438743,0.0,-42.375172747090495,,,,,,,,,,12,182,645,12.392714668489683,43.919236050416735,0.2448461392082918,-3.7084054586355766,25.504806167530408,-16.870366579559427
9,326.9,15,1087,786,74.01582881674882,53.52018532655435,0.19851767393053543,0.0,13.833984246030349,0.0,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,11,184,728,12.528898346165395,49.57085867395873,-3.1597012826074513,-8.106061630589803,110.47906582543527,96.45227343660893,,,,,,,,,,12,182,644,12.392714668489683,43.851144211578884,0.19851767393053024,-4.747842674051673,13.833984246029987,-0.1928081428031899
