frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,132.4,10,776,11,,,,,,,,,,,,,,,,,,,,,,,,,60,294,684,20.01900061832949,46.574817765093094,,,,,,,,,,,,,
1,132.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,311,685,21.176561878573033,46.64290960393095,,,,,,,,,,,,,
2,244.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,271,683,,,,,,,,,,,,,,,
3,266.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1096,841,74.62865536628952,57.265236462636395,,,,,,,,,,,,,
4,291.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,511,1,34.79492964614411,0.06809183883785541,,,,,,,,,,,,,
5,326.9,15,1089,786,74.15201249442454,53.52018532655435,,,,,13,272,805,18.52098016389667,54.813930264473605,,,,,11,182,751,12.392714668489683,51.13697096722941,,,,,,,,,,,,,,12,169,668,11.507520763597563,45.48534834368741,,,,
6,326.9,15,1089,786,74.15201249442454,53.52018532655435,,,,,14,272,805,18.52098016389667,54.813930264473605,,,,,13,185,755,12.59699018500325,51.40933832258083,,,,,,,,,,,,,,13,168,668,11.439428924759708,45.48534834368741,,,,
7,336.8,15,1089,786,74.15201249442454,53.52018532655435,,,,,14,272,805,18.52098016389667,54.813930264473605,,,,,13,184,755,12.528898346165395,51.40933832258083,,,,,,,,,,,,,,13,168,668,11.439428924759708,45.48534834368741,,,,
8,358.8,15,1089,786,74.15201249442454,53.52018532655435,-1.1033207662479645,0.0,-69.1737157522234,0.0,14,271,805,18.452888325058815,54.813930264473605,-1.0554304367059673,1.1033207662478492,67.65579722474152,69.1737157522162,13,184,754,12.528898346165395,51.34124648374298,2.1108608734119625,4.2696120763658065,-135.3115944494848,-133.79367592201194,,,,,,,,,,13,167,668,11.371337085921853,45.48534834368741,-2.1108608734119345,0.0,135.31159444948304,0.0
9,370.4,15,1089,786,74.15201249442454,53.52018532655435,0.0,0.0,0.0,0.0,14,271,806,18.452888325058815,54.882022103311456,-0.7826648142282194,0.7826648142281786,35.98458915991814,-35.984589159916254,13,184,754,12.528898346165395,51.34124648374298,-0.7826648142282194,-1.5653296284564389,35.98458915991814,-3.7565746499908544e-12,,,,,,,,,,13,167,668,11.371337085921853,45.48534834368741,-0.7826648142282194,-0.7826648142282603,35.98458915991814,-35.98458915992001
10,380.5,15,1089,786,74.15201249442454,53.52018532655435,0.0,0.0,0.0,0.0,14,271,806,18.452888325058815,54.882022103311456,-0.9340424693814217,0.5170060332057529,28.563989889340125,-47.650325641083256,14,184,754,12.528898346165395,51.34124648374298,0.0,-1.3510789055570362,0.0,9.477654137592017,,,,,,,,,,13,167,668,11.371337085921853,45.48534834368741,-0.9340424693814217,-0.8340728723512835,28.563989889340125,-38.172671503491244
11,390.0,15,1088,786,74.08392065558668,53.52018532655435,-1.6121473246303994,0.0,36.55662867642629,0.0,14,271,806,18.452888325058815,54.882022103311456,0.0,1.6121473246302311,0.0,-36.556628676422484,14,184,755,12.528898346165395,51.40933832258083,0.0,0.8052157006216477,0.0,-88.28301483081887,,,,,,,,,,13,167,668,11.371337085921853,45.48534834368741,0.20173290600214588,-0.6051987180064482,12.9315965385991,-38.794789615797974
12,413.9,15,1089,786,74.15201249442454,53.52018532655435,0.0,0.0,0.0,0.0,14,271,806,18.452888325058815,54.882022103311456,0.0,0.0,0.0,0.0,14,184,753,12.528898346165395,51.27315464490512,0.20676150274728683,-1.917537153826012,9.506275988381004,-16.193449442275476,,,,,,,,,,13,167,667,11.371337085921853,45.417256504849554,0.20676150274728683,-2.12429865657331,9.506275988381004,-25.699725430656976
