frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,141.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,1057,349,71.97307365161316,23.764051754411536,,,,,,,,,,,,,
1,141.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,1057,349,71.97307365161316,23.764051754411536,,,,,,,,,,,,,
2,237.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,1057,350,,,,,,,,,,,,,,,
3,259.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,232,584,15.797306610382455,39.76563388130756,,,,,,,,,,,,,
4,278.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,218,581,14.844020866652478,39.56135836479399,,,,,,,,,,,,,
5,288.6,12,1097,786,74.69674720512738,53.52018532655435,,,,,14,288,804,19.610449585302355,54.745838425635746,,,,,13,211,659,14.367377994787491,44.872521794146714,,,,,,,,,,,,,,12,172,601,11.71179628011113,40.9231951415511,,,,
6,298.4,12,1098,786,74.76483904396524,53.52018532655435,,,,,14,288,804,19.610449585302355,54.745838425635746,,,,,13,210,658,14.299286155949636,44.804429955308855,,,,,,,,,,,,,,13,172,600,11.71179628011113,40.855103302713246,,,,
7,309.0,12,1098,786,74.76483904396524,53.52018532655435,,,,,14,288,803,19.610449585302355,54.67774658679789,,,,,13,211,657,14.367377994787491,44.736338116471,,,,,,,,,,,,,,13,172,600,11.71179628011113,40.855103302713246,,,,
8,319.4,12,1097,786,74.69674720512738,53.52018532655435,0.0,0.0,0.0,0.0,14,288,804,19.610449585302355,54.745838425635746,0.0,0.0,0.0,0.0,13,211,657,14.367377994787491,44.736338116471,0.20341437365056825,-4.0820837295477626,13.208725561725233,22.043132917944174,,,,,,,,,,13,172,598,11.71179628011113,40.718919625037536,0.0,-5.309468099719307,0.0,85.89960162381387
9,330.3,12,1098,786,74.76483904396524,53.52018532655435,-0.14282321086652042,0.0,-8.954433283167413,0.0,14,288,804,19.610449585302355,54.745838425635746,0.0,0.0,0.0,0.0,13,210,656,14.299286155949636,44.668246277633145,0.14282321086651295,-3.726889869585427,8.954433283166948,33.99316208750877,,,,,,,,,,13,172,598,11.71179628011113,40.718919625037536,0.0,-3.7268898695854418,0.0,33.99316208750783
