frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,130.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,38,405,,,,,,,,,,,,,,,
1,130.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,36,404,,,,,,,,,,,,,,,
2,225.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,17,397,,,,,,,,,,,,,,,
3,245.4,11,1098,785,74.76483904396524,53.452093487716496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,157,743,10.690418697543299,50.59223625652657,,,,
4,259.5,12,1098,786,74.76483904396524,53.52018532655435,,,,,,,,,,,,,,9,198,804,13.48218408989537,54.745838425635746,,,,,,,,,,,,,,13,157,744,10.690418697543299,50.66032809536442,,,,
5,270.8,12,1097,786,74.69674720512738,53.52018532655435,,,,,,,,,,,,,,9,198,804,13.48218408989537,54.745838425635746,,,,,,,,,,,,,,13,157,744,10.690418697543299,50.66032809536442,,,,
6,288.1,12,1097,786,74.69674720512738,53.52018532655435,-0.6963474277598259,0.6963474277597533,42.07537327853938,-42.07537327853499,,,,,,,,,,8,197,804,13.414092251057514,54.745838425635746,,,,,,,,,,,,,,13,158,744,10.758510536381154,50.66032809536442,-0.4624986046423888,0.6963474277597533,-96.35387596716379,-42.07537327853499
7,300.4,12,1097,786,74.69674720512738,53.52018532655435,-0.8848618909800517,0.0,38.14059874914014,0.0,,,,,,,,,,12,201,804,13.686459606408937,54.745838425635746,-0.7830207383501544,-2.062563846774142,-282.5199092689409,-100.85886781291651,,,,,,,,,,13,157,744,10.690418697543299,50.66032809536442,0.0,0.0,0.0,0.0
8,310.5,11,1097,785,74.69674720512738,53.452093487716496,0.0,-0.7668053670969026,0.0,47.7760353331403,,,,,,,,,,9,198,803,13.48218408989537,54.67774658679789,1.0129954914109454,-0.7668053670969827,51.03251845898972,47.77603533314528,,,,,,,,,,13,157,744,10.690418697543299,50.66032809536442,0.0,0.0,0.0,0.0
9,321.2,12,1097,786,74.69674720512738,53.52018532655435,0.0,-0.19005118976221536,0.0,-11.483455574756226,,,,,,,,,,12,201,804,13.686459606408937,54.745838425635746,6.078918124001351,0.0,-129.89141290601177,0.0,,,,,,,,,,13,157,744,10.690418697543299,50.66032809536442,-1.519729531000328,0.0,32.47285322650273,0.0
10,346.8,12,1097,786,74.69674720512738,53.52018532655435,0.0,0.0,0.0,0.0,,,,,,,,,,9,196,801,13.34600041221966,54.54156290912218,-4.8288690128704905,-3.2329485030319924,108.12989743616804,50.41125331904374,,,,,,,,,,13,157,744,10.690418697543299,50.66032809536442,0.20976693456854525,0.0,9.041678214161427,0.0
11,382.3,12,1097,786,74.69674720512738,53.52018532655435,0.0,0.2694725582137664,0.0,-18.910354962369574,,,,,,,,,,12,201,804,13.686459606408937,54.745838425635746,1.6581046442771308,0.552701548092401,-33.06290417302354,-11.020968057674994,,,,,,,,,,13,157,744,10.690418697543299,50.66032809536442,0.0,0.0,0.0,0.0
12,414.8,11,1097,785,74.69674720512738,53.452093487716496,0.0,-0.047238760432519615,0.0,14.535003210006135,,,,,,,,,,13,201,804,13.686459606408937,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,13,157,744,10.690418697543299,50.66032809536442,0.0,0.0,0.0,0.0
13,448.5,12,1097,786,74.69674720512738,53.52018532655435,0.0,0.0,0.0,0.0,,,,,,,,,,10,197,800,13.414092251057514,54.473471070284326,1.7479161786269193,1.0914685858650592,21.2070778145185,34.631363965067415,,,,,,,,,,13,158,744,10.758510536381154,50.66032809536442,-0.026699299180560035,0.0,-13.691948297722986,0.0
14,482.6,11,1097,785,74.69674720512738,53.452093487716496,0.0,0.004771257230967323,0.0,13.632163517049555,,,,,,,,,,12,201,804,13.686459606408937,54.745838425635746,0.0,0.34302349143634164,0.0,6.839949978790461,,,,,,,,,,12,157,744,10.690418697543299,50.66032809536442,0.0,0.0,0.0,0.0
15,514.9,12,1097,786,74.69674720512738,53.52018532655435,0.0,0.33909667308474245,0.0,-6.816013529341556,,,,,,,,,,12,201,804,13.686459606408937,54.745838425635746,0.34319861167910154,0.0,6.857115118463569,0.0,,,,,,,,,,13,157,744,10.690418697543299,50.66032809536442,0.34319861167910154,0.0,6.857115118463569,0.0
16,546.3,12,1097,786,74.69674720512738,53.52018532655435,0.0,0.0,0.0,0.0,,,,,,,,,,12,201,804,13.686459606408937,54.745838425635746,1.4285311515286752,1.7505141824313937,-27.738468961721853,-21.153948902361186,,,,,,,,,,13,157,744,10.690418697543299,50.66032809536442,-0.3571327878821665,0.0,6.934617240430418,0.0
17,582.2,12,1097,786,74.69674720512738,53.52018532655435,0.0,0.3431938061907776,0.0,-6.836530003800353,,,,,,,,,,12,201,805,13.686459606408937,54.813930264473605,0.0,0.005447434265976655,0.0,-13.618585664942367,,,,,,,,,,13,157,744,10.690418697543299,50.66032809536442,0.0,0.0,0.0,0.0
18,614.4,12,1097,786,74.69674720512738,53.52018532655435,0.0,0.0,0.0,0.0,,,,,,,,,,13,202,804,13.754551445246792,54.745838425635746,0.3430276134449445,0.33960591300084886,-6.860552268898888,6.82624950755475,,,,,,,,,,13,158,744,10.758510536381154,50.66032809536442,0.3430276134449445,0.0,-6.860552268898888,0.0
19,649.3,12,1097,786,74.69674720512738,53.52018532655435,0.0,-0.32158983269981106,0.0,-6.244462770870119,,,,,,,,,,12,201,805,13.686459606408937,54.813930264473605,0.3215898326998279,0.011973908927775641,6.244462770870445,-12.604114660815862,,,,,,,,,,13,157,744,10.690418697543299,50.66032809536442,0.0,0.0,0.0,0.0
20,682.6,12,1097,786,74.69674720512738,53.52018532655435,0.0,-0.3421638791729461,0.0,-6.816013529341557,,,,,,,,,,13,201,804,13.686459606408937,54.745838425635746,0.0,-0.3380864909999508,0.0,6.775280380760541,,,,,,,,,,13,157,744,10.690418697543299,50.66032809536442,0.0,0.0,0.0,0.0
21,714.4,12,1097,786,74.69674720512738,53.52018532655435,0.0,0.0,0.0,0.0,,,,,,,,,,13,202,805,13.754551445246792,54.813930264473605,0.0,0.3407993132644073,0.0,-6.802381502283577,,,,,,,,,,13,158,744,10.758510536381154,50.66032809536442,0.0,0.0,0.0,0.0
22,754.2,11,1097,785,74.69674720512738,53.452093487716496,0.0,0.08701608240428355,0.0,14.034852000690794,,,,,,,,,,13,202,804,13.754551445246792,54.745838425635746,-0.08701608240428814,-0.30416844587366537,-14.034852000691526,6.576615045917088,,,,,,,,,,13,157,744,10.690418697543299,50.66032809536442,0.0,0.0,0.0,0.0
23,782.4,11,1097,785,74.69674720512738,53.452093487716496,0.0,-0.0006829659202074073,0.0,13.659318404145946,,,,,,,,,,12,201,804,13.686459606408937,54.745838425635746,0.3406293382023956,0.34062933820241337,6.826239242532981,6.8262392425333385,,,,,,,,,,13,157,744,10.690418697543299,50.66032809536442,0.0,0.0,0.0,0.0
24,814.6,12,1097,786,74.69674720512738,53.52018532655435,0.0,0.0,0.0,0.0,,,,,,,,,,13,202,805,13.754551445246792,54.813930264473605,0.0,-0.34182376009786763,0.0,-6.822829542871608,,,,,,,,,,13,158,744,10.758510536381154,50.66032809536442,-0.3418237600978498,0.0,-6.8228295428712515,0.0
25,846.7,12,1097,786,74.69674720512738,53.52018532655435,0.0,0.38185203094376885,0.0,-7.660020680918137,,,,,,,,,,12,201,804,13.686459606408937,54.745838425635746,-0.05316069718697196,0.0,14.766860329714577,0.0,,,,,,,,,,13,157,744,10.690418697543299,50.66032809536442,0.0,0.0,0.0,0.0
26,882.3,12,1097,786,74.69674720512738,53.52018532655435,0.0,0.3413109387024569,0.0,-6.812593586875385,,,,,,,,,,13,202,805,13.754551445246792,54.813930264473605,0.3413109387024747,0.0020407185280451007,-6.812593586875741,-13.604790186965134,,,,,,,,,,13,157,744,10.690418697543299,50.66032809536442,0.0,0.0,0.0,0.0
