frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,126.5,10,660,66,44.940613632984565,4.4940613632984565,,,,,,,,,,,,,,,,,,,,,,,60,300,676,,,,,,,,,,,,,,,
1,126.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,295,672,,,,,,,,,,,,,,,
2,230.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,286,668,,,,,,,,,,,,,,,
3,252.8,14,1092,787,74.3562880109381,53.588277165392206,66.053091811027,110.24138702720015,-2642.1236724410796,-4409.655481088006,13,278,804,18.929531196923804,54.745838425635746,,,,,8,187,730,12.73317386267896,49.70704235163445,,,,,,,,,,,,,,12,177,646,12.052255474300408,43.987327889254594,,,,
4,269.9,14,1093,787,74.42437984977596,53.588277165392206,,,,,14,278,804,18.929531196923804,54.745838425635746,,,,,13,193,726,13.141724895706094,49.43467499628302,,,,,,,,,,,,,,12,178,642,12.120347313138263,43.714960533903174,,,,
5,281.3,14,1092,787,74.3562880109381,53.588277165392206,,,,,14,277,804,18.861439358085946,54.745838425635746,,,,,13,193,724,13.141724895706094,49.29849131860731,,,,,,,,,,,,,,12,178,638,12.120347313138263,43.442593178551746,,,,
6,302.8,14,1092,787,74.3562880109381,53.588277165392206,1.2752426966816999,0.0,51.00970786726799,0.0,14,277,804,18.861439358085946,54.745838425635746,0.7397631873742682,0.0,84.06399856525763,0.0,13,193,719,13.141724895706094,48.95803212441804,4.488119752526083,-13.541730782471403,-147.31603632066387,57.53895047427144,,,,,,,,,,12,179,635,12.188439151976118,43.238317662038185,2.346201715296441,-13.541730782471403,-15.098873528710486,57.53895047427144
7,313.9,14,1093,787,74.42437984977596,53.588277165392206,-1.036115143074542,0.0,-47.09614286702465,0.0,14,277,804,18.861439358085946,54.745838425635746,0.3386587300548232,0.0,85.73638735565173,0.0,13,193,717,13.141724895706094,48.82184844674232,1.0361151430744882,-12.493798575624108,47.09614286702219,65.18534319549431,,,,,,,,,,12,179,632,12.188439151976118,43.034042145524616,1.7335715560941705,-12.155139845569394,8.455898378397142,150.9217305511411
8,323.3,14,1092,787,74.3562880109381,53.588277165392206,0.0,0.0,0.0,0.0,14,278,803,18.929531196923804,54.67774658679789,0.9503787029914587,-0.4768336053071332,-31.945502621561637,54.49526917795809,13,193,715,13.141724895706094,48.68566476906661,0.4735450976843008,-10.921133815344211,22.549766556395276,174.76069081206623,,,,,,,,,,12,180,630,12.256530990813973,42.897858467848906,2.374302503667119,-9.497210014668475,-41.341238686724665,165.36495474689866
9,335.2,14,1093,787,74.42437984977596,53.588277165392206,1.4941794571032636,0.0,-37.49509302643071,0.0,14,278,804,18.929531196923804,54.745838425635746,1.4941794571032636,0.0,-37.49509302643071,0.0,13,194,713,13.20981673454395,48.5494810913909,1.4941794571031857,-9.952801933470557,-37.495093026428755,163.99986736528703,,,,,,,,,,12,180,629,12.256530990813973,42.82976662901105,1.7411107548160074,-10.199733231183366,-22.25242032810641,148.75719466696552
